id,name,verified_street,verified_suite,verified_city,verified_zip,verified_county,site_phone,address_status,location_matches_record_city,evidence_url,sources_checked,confidence,notes
6492,Renewed Integrative Counseling,1074 S Florida Ave,Suite 103,Lakeland,33803,Polk,(863) 904-1541,RESOLVED,Y,http://www.renewedic.com/lakeland,1,HIGH,Lakeland page publishes 1074 S. Florida Ave Suite 103. Stored record had the number 1074 with no street name.
6521,Learn and Rise,,,,,,,SITE_DEAD,UNCLEAR,,3,LOW,"Google Sites URL 302-redirects to a Google sign-in page, so the site is no longer public. Own Facebook page robots-blocked. Stored 5130 / Suite 410 unverified; needs a phone call or a new website URL."
6740,I-BOS Counseling Center,2503 Del Prado Blvd S,Suite 410A,Cape Coral,33904,Lee,(239) 443-6385,RESOLVED,Y,http://www.iboscounseling.com/,1,HIGH,Stored value ran street number and suite together. Correct suite is 410A - the record dropped the A.
6754,Center For Independent Living - Lauderdale Lakes,4800 N State Road 7,Suite 102,Fort Lauderdale,33319,Broward,(954) 722-6400,RESOLVED,Y,http://www.cilbroward.org/,1,HIGH,"Org writes the city as Fort Lauderdale (USPS preferred name for 33319) while the record says Lauderdale Lakes. Same physical location, city label differs."
6835,"Children's Communication Center, Inc.",,,,,,,NO_ADDRESS_PUBLISHED,UNCLEAR,,3,LOW,Site is a stale blog whose newest content references a 2015 event; no address or clinic phone anywhere. All contact paths blocked by robots. Dormant site raises a possible-closure question worth checking by phone.
6933,"Everyday ABA, LLC",1051 Eber Blvd,Suite 107,Melbourne,32904,Brevard,(321) 536-3532,RESOLVED,Y,https://www.everydayaba.com/contact-us-1.html,2,HIGH,Contact page supplies the street number missing from the stored 'Eber Blvd'. Also offers in-home service across Brevard.
6938,FSU Speech and Hearing Clinic,201 W Bloxham St,Warren Building,Tallahassee,32306,Leon,(850) 644-2238,RESOLVED,Y,https://commdisorders.cci.fsu.edu/speech-hearing-clinic/,1,HIGH,"Building name accompanied by street number and name, so acceptable. Published ZIP is 32306 (campus), NOT the stored 32301. Same address as record 9235 - see that row."
6971,Foundations Therapy - Clearwater,2753 State Road 580,Suite 111,Clearwater,33761,Pinellas,(727) 724-5437,RESOLVED,Y,http://foundationstherapy.net/,1,HIGH,Stored '2753' was the orphaned street number. Single location.
7013,"Holladay Child Development Services, LLC",,,,,,,NO_ADDRESS_PUBLISHED,UNCLEAR,,3,LOW,"Legacy .html site fetches inconsistently; location.html returned 400/500 on every attempt. Third-party listings agree on 5302 S Florida Ave, consistent with the stored fragment, but no org-published source loaded. Needs a manual browser check of hcds.org/location.html."
7141,FIRST WORDS Project - Tallahassee,2312 Killearn Center Blvd,Bldg. A,Tallahassee,32309,Leon,,RESOLVED,Y,http://www.firstwordsproject.com/,1,HIGH,Street number and name published alongside the Edgewater Office Park name. No phone published on the site; contact page 404s.
7179,PT Solutions of Lakeland - Christina Lake,6419 S Florida Ave,Ste D,Lakeland,33813,Polk,(863) 210-5002,RESOLVED,Y,https://ptsolutions.com/find-a-clinic/fl/lakeland/lakeland-christina-lake/,1,HIGH,Stored '6419' was the orphaned street number.
7184,R & R Travel Therapy,,,,,,(850) 321-7189,NO_ADDRESS_PUBLISHED,UNCLEAR,http://randrtraveltherapy.com/,3,MEDIUM,"Mobile travel-therapy practice publishing only 'Tallahassee, Florida' and a phone. Stored 3050 Highland Oaks Terrace is likely an unpublished home base. Site phone differs from the stored (850) 296-0930."
7243,Azul Therapy Services Inc. - 2140 W,2140 W Flagler St,Ste 102,Miami,33135,Miami-Dade,786-409-2646,RESOLVED,Y,https://azultherapyservices.com/contact/,1,HIGH,Little Havana office matches the record's fragment and ZIP. Two other FL offices: Kendall and Hialeah.
7245,"Kara T Vaassen MS, LMHC",,,,,,,NO_ADDRESS_PUBLISHED,UNCLEAR,,3,LOW,"kidsawarenessseries.com is a blog-only site with no contact page, address or phone; /contact returns 403. Searches surfaced only third-party directories, excluded per rules."
7260,Serene Mind Counseling + Evaluations,730 S Sterling Ave,Suite 301,Tampa,33609,Hillsborough,813-321-8280,RESOLVED,Y,http://www.serenemindpsych.com/,1,HIGH,Completes the record's '730 S' fragment; ZIP matches. Second office in Jacksonville.
7289,Playful Paths Speech Therapy,,,,,,(407) 718-7412,NO_ADDRESS_PUBLISHED,UNCLEAR,https://www.playfulpathstherapy.com/about,1,HIGH,"Explicitly a mobile practice - therapy in homes, schools, daycares or telehealth across Hillsborough, Pinellas, Pasco and Polk. Genuine no-address case, not a lookup failure."
7342,Step Forward ABA,1806 N Flamingo Rd,#110,Pembroke Pines,33028,Broward,(786) 673-9355,RESOLVED,Y,https://stepforwardaba.com/locations/,1,HIGH,Completes the record's '1806 N' fragment; ZIP matches. Other FL site is Miami.
7367,Yes of America United Inc,,,,,,,SITE_DEAD,UNCLEAR,,3,LOW,"yesunited.org no longer belongs to the organisation - it 302-redirects to an unrelated gambling domain, so the domain lapsed and was re-registered. No live org-controlled page found. Recommend reviewing this record for closure."
7408,Two Hearts ABA Therapy,23123 State Road 7,Suite 345,Boca Raton,33428,Palm Beach,561-461-7273,RESOLVED,Y,http://www.twoheartsaba.com/,1,HIGH,Matches record city and the stored bare number 23123. Second location is Palmetto Bay.
