domain,company_name,published_cities,published_count,directory_cities,cities_not_published,cities_not_in_directory,locations_page_url,status,confidence,notes
selectphysicaltherapy.com,Select Physical Therapy (Select Medical),,0,Brooksville|Cape Coral|Clearwater|Coral Springs|Fort Lauderdale|Hallandale Beach|Hollywood|Jacksonville|Jacksonville Beach|Lakeland|Largo|Medley|Miami|Miami Beach|Miami Lakes|Miramar|North Miami|Orlando|Ormond Beach|Palm Beach Gardens|Palm Harbor|Palm Springs|Pembroke Pines|Plant City|Port St.. Lucie|Royal Palm Beach|Sebastian|Spring Hill|Tamarac|Tampa|Weston|Winter Haven|Winter Park,,,,NO_LOCATIONS_PAGE,MEDIUM,"Site is alive and not bot-blocked, but no machine-readable location list is published. /locations/ and /locations/florida/ both 404. The real finder is https://www.selectphysicaltherapy.com/contact/find-a-location/ (loaded, HTTP 200) but it renders results entirely client-side - the served HTML contains only the search widget and 'No Results Found', and adding ?state=FL changes nothing. Individual clinic pages exist at /contact/find-a-location/fl/<city>/<clinic>/ but there is no city-level or state-level index page (/contact/find-a-location/fl/ and /contact/find-a-location/fl/tampa/ both 404), and the site's own sitemap.xml (152 URLs, the only sitemap named in robots.txt) contains no location URLs at all. Could not establish the published Florida list, so no directory city is being flagged. Worth re-checking with a JS-capable fetch; MEDLEY, PALM SPRINGS and NORTH MIAMI are the directory entries most worth spot-checking."
coraphysicaltherapy.com,CORA Physical Therapy (CORA Health Services),Apopka|Boca Raton|Boynton Beach|Bradenton|Cape Coral|Clearwater|Clermont|Coral Gables|Coral Springs|Cutler Bay|Dania Beach|Deerfield Beach|Deland|Delray Beach|Deltona|Doral|Dunnellon|Estero|Fort Lauderdale|Fort Myers|Haines City|Hernando|Hialeah|Holiday|Hollywood|Homestead|Jacksonville|Jacksonville Beach|Kissimmee|Lady Lake|Lake Mary|Lake Placid|Lake Worth|Lakeland|Largo|Lauderhill|Leesburg|Lehigh Acres|Longwood|Melbourne|Miami|Miami Beach|Miami Lakes|Naples|New Smyrna Beach|North Lauderdale|North Port|Ocoee|Orange City|Orange Park|Orlando|Ormond Beach|Oviedo|Palm Bay|Palm Beach Gardens|Palm Coast|Pembroke Pines|Plantation|Ponte Vedra Beach|Port Charlotte|Port Orange|Port Saint Lucie|Punta Gorda|Riverview|Rockledge|Saint Augustine|Saint Cloud|Saint Johns|Saint Petersburg|Sarasota|Satellite Beach|Sebring|Seffner|Seminole|Stuart|Sun City Center|Sunrise|Tampa|Tavares|Temple Terrace|The Villages|Titusville|Valrico|West Palm Beach|Winter Haven|Winter Park,86,Cape Coral|Clearwater|Coral Springs|Dania Beach|Davie|Fort Lauderdale|Fort Myers|Haines City|Hialeah|Hollywood|Jacksonville|Lakeland|Largo|Melbourne|Miami|Miami Beach|Miramar|North Miami Beach|Orlando|Ormond Beach|Palm Springs|Pompano Beach|Port Orange|Port St.. Lucie|Royal Palm Beach|Satellite Beach|Stuart|Sunrise|Tampa|West Melbourne|Winter Haven|Winter Park,Davie|Miramar|North Miami Beach|Palm Springs|Pompano Beach|Royal Palm Beach|West Melbourne,Apopka|Boca Raton|Boynton Beach|Bradenton|Clermont|Coral Gables|Cutler Bay|Deerfield Beach|Deland|Delray Beach|Deltona|Doral|Dunnellon|Estero|Hernando|Holiday|Homestead|Jacksonville Beach|Kissimmee|Lady Lake|Lake Mary|Lake Placid|Lake Worth|Lauderhill|Leesburg|Lehigh Acres|Longwood|Miami Lakes|Naples|New Smyrna Beach|North Lauderdale|North Port|Ocoee|Orange City|Orange Park|Oviedo|Palm Bay|Palm Beach Gardens|Palm Coast|Pembroke Pines|Plantation|Ponte Vedra Beach|Port Charlotte|Punta Gorda|Riverview|Rockledge|Saint Augustine|Saint Cloud|Saint Johns|Saint Petersburg|Sarasota|Sebring|Seffner|Seminole|Sun City Center|Tavares|Temple Terrace|The Villages|Titusville|Valrico|West Palm Beach,http://coraphysicaltherapy.com/wpsl_stores-sitemap.xml,MISMATCH,MEDIUM,"Large southeastern outpatient PT chain (~250 clinics). Its HTML locations pages (/locations/ and /florida-clinics/) render the clinic list entirely in JavaScript and returned no list, and www.coraphysicaltherapy.com repeatedly failed robots.txt retrieval; the authoritative list came instead from CORA's own Yoast store-locator sitemap, which enumerated 230 clinic pages, 123 of them Florida under /location/<slug>-florida/. Slugs are neighbourhood names and were mapped to cities (kendall/tamiami/west-dade/westchester/north-dade/north-red-road/country-walk = Miami; regency/kennerly/tinseltown/westside/riverside/north-jacksonville = Jacksonville; sodo/dr-phillips/sand-lake/waterford-lakes/hunters-creek/lake-nona/stoneybrook/south-semoran/rosen = Orlando; st-lucie-west = Port St. Lucie; the-beaches = Jacksonville Beach). SEVEN directory cities have no published counterpart - DAVIE, MIRAMAR, NORTH MIAMI BEACH, PALM SPRINGS, POMPANO BEACH, ROYAL PALM BEACH, WEST MELBOURNE - a mostly South Florida cluster consistent with clinic closures. MEDIUM because the mapping is slug-based; slugs 'magnolia' and 'eagles-park' stayed ambiguous and were excluded, and 'sawgrass' was read as Sunrise."
ptsolutions.com,PT Solutions Physical Therapy,Apollo Beach|Boca Raton|Bradenton|Brooksville|Bushnell|Clearwater|Coral Springs|Crestview|Dade City|Delray Beach|Dunedin|Fort Walton Beach|Gibsonton|Hudson|Jacksonville|Lakeland|Largo|Lithia|Lutz|Navarre|New Port Richey|Odessa|Oldsmar|Palm Coast|Palm Harbor|Pensacola|Pinellas Park|Plant City|Port Richey|Riverview|Saint Augustine|Saint Johns|Saint Petersburg|Santa Rosa Beach|Spring Hill|Sun City Center|Tampa|Temple Terrace|Trinity|Valrico|Wesley Chapel|West Palm Beach|Zephyrhills,43,Brooksville|Bushnell|Clearwater|Dunedin|Hudson|Lakeland|Largo|Oldsmar|Palm Coast|Palm Harbor|Plant City|Riverview|Spring Hill|Tampa|Temple Terrace|Zephyrhills,,Apollo Beach|Boca Raton|Bradenton|Coral Springs|Crestview|Dade City|Delray Beach|Fort Walton Beach|Gibsonton|Jacksonville|Lithia|Lutz|Navarre|New Port Richey|Odessa|Pensacola|Pinellas Park|Port Richey|Saint Augustine|Saint Johns|Saint Petersburg|Santa Rosa Beach|Sun City Center|Trinity|Valrico|Wesley Chapel|West Palm Beach,https://ptsolutions.com/find-a-clinic/fl,MATCHED,HIGH,National outpatient PT chain with a state-filtered clinic finder at /find-a-clinic/<state>. The Florida page published 66 clinic entries across 43 distinct cities; all 16 directory cities appear on it. Clinic names are neighbourhood-based (e.g. 'Carrollwood' = Tampa) and were mapped to their city. Directory covers only about a third of the published Florida footprint.
lifestance.com,LifeStance Health,Aventura|Brandon|Celebration|Clermont|Fort Lauderdale|Fort Myers|Hollywood|Jacksonville|Kissimmee|Lakeland|Maitland|Miami|Miami Lakes|New Port Richey|Ocoee|Orlando|Oviedo|Palm Harbor|Sanford|Sarasota|Tampa|The Villages,22,Aventura|Brandon|Celebration|Clermont|Fort Lauderdale|Fort Myers|Hollywood|Jacksonville|Kissimmee|Lakeland|Maitland|Miami|Miami Lakes|New Port Richey|Ocoee|Orlando|Oviedo|Palm Harbor|Sanford|Sarasota|Tampa|The Villages,,,https://lifestance.com/locations/florida/,MATCHED,HIGH,"National outpatient mental-health group. The Florida state page lists 25 offices in 22 distinct cities (Orlando has 4). The directory holds exactly 25 records in the same 22 cities - a one-to-one match, suggesting the directory set was built from this page."
h2health.com,H2 Health,Amelia Island|Brandon|Callahan|Cape Coral|Chiefland|Citrus Hills|Crystal River|Fleming Island|Fort Myers|Indian Harbour Beach|Jacksonville|Jacksonville Beach|Lake City|Land O' Lakes|Live Oak|Macclenny|Mayo|Melbourne|Middleburg|New Smyrna Beach|Orange Park|Palatka|Palm Bay|Ponte Vedra Beach|Port Orange|Riverview|Saint Augustine|Saint Johns|Saint Petersburg|Tampa|Yulee,31,Callahan|Fort Myers|Jacksonville|Jacksonville Beach|Melbourne|Middleburg|New Smyrna Beach|St.. Augustine|Tampa|West Melbourne|Yulee,West Melbourne,Amelia Island|Brandon|Cape Coral|Chiefland|Citrus Hills|Crystal River|Fleming Island|Indian Harbour Beach|Lake City|Land O' Lakes|Live Oak|Macclenny|Mayo|Orange Park|Palatka|Palm Bay|Ponte Vedra Beach|Port Orange|Riverview|Saint Johns|Saint Petersburg,https://www.h2health.com/locations/,MISMATCH,MEDIUM,"Multi-brand therapy network (H2 Health, Great Strides Pediatric Rehabilitation, Back to Work PT, Beachside PT, Advanced PT, Rehab Partners). The locations page groups clinics by brand and names them by neighbourhood: Mandarin/Southpoint/Bartram/Arlington/Ortega/Westside/Northside/Riverside/Avenues/Southside = Jacksonville; Carrollwood/South Tampa/Westchase/University = Tampa; World Golf Village = St. Augustine. Brevard County publishes exactly four Beachside clinics - Melbourne, Downtown Melbourne, Indian Harbour Beach and Palm Bay - and no WEST MELBOURNE clinic, so the directory's WEST MELBOURNE record has no published counterpart. MEDIUM rather than HIGH because the Palm Bay clinic page markets itself to West Melbourne, so the record may be a mis-citied Palm Bay/Melbourne clinic rather than a phantom. A few published entries are areas rather than incorporated cities (Amelia Island, Citrus Hills)."
fyzical.com,FYZICAL Therapy & Balance Centers,,0,Coral Springs|Deland|Fort Myers|Gainesville|Hialeah|Hudson|Jacksonville|Largo|Melbourne|Melbourne Beach|Miami|Miramar|North Fort Myers|Orlando|Port Orange|South Miami|Spring Hill|Tallahassee|Tampa,,,,NO_LOCATIONS_PAGE,MEDIUM,"Franchised PT and vestibular/balance clinic network. The site is alive - the homepage and individual clinic pages such as https://www.fyzical.com/deland load fine - but the locations index is bot-blocked: every attempt at the locations path returned HTTP 405 (tried https/http, with and without www, with and without trailing slash, and with ?state= query strings), and /robots.txt and /sitemap.xml return 405 too, so no sitemap route is available either. Individual clinics live at /<city>-fl or /<city> (e.g. /hialeah-gardens-fl, /north-fort-myers, /tallahassee), which means directory cities could be spot-checked one URL at a time. Note HIALEAH is published by FYZICAL as 'Hialeah Gardens' and the directory has both MELBOURNE and MELBOURNE BEACH - those two are the entries most worth verifying."
adventhealth.com,AdventHealth,,0,Holly Hill|Ocala|Orlando|Winter Park,,,,NO_LOCATIONS_PAGE,LOW,"Very large multi-state health system, not a therapy chain. A location finder exists at https://www.adventhealth.com/locations?state=FL and loads, but it is not enumerable: it reports 1,999 matching locations over ~200 pages, ignores every filter and search parameter tried (state, city and full-text queries all return the identical first page, which even mixes in Colorado facilities), and the site's sitemap.xml is a 15-page index with no location-specific child sitemap. The enumerable company lists that do exist are hospital/practice-level only: https://www.adventhealth.com/contact-a-location confirms AdventHealth Ocala, AdventHealth Orlando and AdventHealth Winter Park, and the AdventHealth Medical Group location list reports 1,028 practices over 103 pages. HOLLY HILL could not be confirmed on any AdventHealth page reached, but absence from a hospitals-only list is not evidence, so nothing is being flagged. Recommend verifying the single Holly Hill record by hand."
physicaltherapynow.com,Physical Therapy Now,,0,Cape Coral|Coral Gables|Coral Springs|Fort Lauderdale|Fort Myers|Hialeah|Hollywood|Miami|Miami Lakes|North Miami Beach|Orlando|Palm Harbor|Tallahassee,,,,NO_LOCATIONS_PAGE,MEDIUM,"Florida/Texas PT franchise. https://www.physicaltherapynow.com/locations loads (HTTP 200) but the served HTML contains only page metadata - the clinic list is rendered in JavaScript, so nothing could be extracted; /locations/florida and /find-a-clinic behave the same way. No sitemap is reachable (sitemap.xml, sitemap_index.xml, wp-sitemap.xml, cpt_loc-sitemap.xml all 404, and robots.txt names no sitemap). The site's own metadata claims '40+ locations in Florida and Texas', which is fewer than the directory's 17 Florida records plus its Texas clinics, so the Florida list is likely smaller than the directory implies - but that is not enough to flag a specific city. Clinic pages exist at /<city>/ and /locations/<city>, so individual directory cities can be spot-checked."
thriveworks.com,Thriveworks Counseling & Psychiatry,Boca Raton|Boynton Beach|Clearwater|Coral Springs|Davie|Fort Lauderdale|Gainesville|Jacksonville|Maitland|Miami|Orlando|Saint Petersburg|Tallahassee|Tampa|West Palm Beach,15,Boca Raton|Boynton Beach|Clearwater|Coral Springs|Davie|Fort Lauderdale|Gainesville|Jacksonville|Maitland|Miami|Orlando|Palm Springs|St.. Petersburg|Tallahassee|Tampa,Palm Springs,West Palm Beach,https://thriveworks.com/find-counselor/,MISMATCH,HIGH,"National counseling/psychiatry group. /locations/florida/ 404s; the real index is /find-counselor/, which lists every office alphabetically by state then city. Florida shows 16 offices in 15 cities (Jacksonville x2). The directory's PALM SPRINGS record has no published counterpart, while Thriveworks' published WEST PALM BEACH office is absent from the directory - Palm Springs FL borders West Palm Beach, so this reads as one office recorded under the wrong city rather than a closed location."
sunrisegroup.org,"Sunrise Community, Inc.",Bartow|Bradenton|Cape Coral|Clewiston|Davie|Daytona Beach|Doral|Homestead|Lakeland|Miami|Naples|Tallahassee|Tampa|Wauchula,14,Bartow|Bradenton|Cape Coral|Clewiston|Davie|Daytona Beach|Doral|Homestead|Lakeland|Miami|Naples|Tallahassee|Tampa|Wauchula,,,https://sunrisegroup.org/locations/florida/,MATCHED,HIGH,"Miami-based nonprofit serving people with developmental disabilities. The site's Locations page links to a Florida state page that lists 17 Florida sites grouped by region (North, Northeast, Central, Southwest, South Florida) across 14 distinct cities - Miami x3 including the national headquarters, Tampa x2. The directory's 15 records cover exactly those 14 cities. Lakeland is published as 'Lakeland (Highland City)'."
