chain,city,location_page_url,offers_aba,offers_autism_eval,offers_any_autism_service,serves_children,evidence_location,confidence,notes
LifeStance,Aventura,https://lifestance.com/location/aventura-fl-2801-ne-213th-street/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,HIGH,"ABA/applied behavior analysis appears nowhere on the page, not even in the global menu; the location's own enumerated list ('Aventura, FL Therapy & Psychiatry Services') contains no ABA, so UNSTATED. The ONLY autism mention on the entire page is the site-wide nav/footer service menu link 'Autism Testing and Evaluation' — that global menu is carried on every LifeStance page and is NOT location-level evidence, so both autism questions are UNSTATED (that mention is the footer/nav source). The location's own services list names testing only generically: 'Neuropsychological Testing', 'Psychological Testing and Evaluation'. serves_children = Y comes from the LOCATION PAGE's own content: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics', plus its own services list naming 'Child and Adolescent Psychiatry' and 'Child and Adolescent Therapy'. No individual clinician cards with specialty tags on this page (clinicians named only inside patient reviews)."
LifeStance,Brandon,https://lifestance.com/location/brandon-fl-615-oakfield-dr/,UNSTATED,UNSTATED,Y,Y,location page; footer,HIGH,"offers_any_autism_service = Y from the LOCATION PAGE's own body content: the location-specific 'Mental Health Conditions We Treat' section lists 'Autism'. That is location-level, not the global menu. offers_autism_eval = UNSTATED: the only 'Autism Testing and Evaluation' wording is the site-wide nav/footer services menu link (to /services/autism-testing-evaluation/) that renders on every LifeStance page — flagged, not counted; the location's own services list names only 'Neuropsychological Testing' and 'Psychological Testing and Evaluation', no autism-specific testing. offers_aba = UNSTATED: 'ABA'/'applied behavior analysis' appears nowhere on the page and is absent from the location's own enumerated service list. serves_children = Y from location page: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics' and its own list naming 'Child and Adolescent Psychiatry' / 'Child and Adolescent Therapy'. No clinician cards with specialty tags on this page."
LifeStance,Celebration,https://lifestance.com/location/celebration-fl-1530-celebration-blvd/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,MEDIUM,"The location's own service list, reproduced verbatim, is the standard 24-item block and contains NO autism item — 'Acceptance and Commitment Therapy (ACT), Adult Psychiatry, Child and Adolescent Psychiatry, Child and Adolescent Therapy, Cognitive Behavioral Therapy, Couples Therapy, Dialectical Behavioral Therapy, EMDR Therapy, Family Therapy, Gottman Therapy, Group Therapy, Independent Medical Examination, Intensive Outpatient Therapy, Medication Management, Mindfulness Based Stress Reduction, Narrative Therapy, Neuropsychological Testing, Neurosequential Model, Play Therapy, Psychotherapy Services: In-Person & Telehealth Available, Psychological Testing and Evaluation, Selectively Provided Services, Solution Focused Therapy, LifeStance Telehealth Services'. The only 'Autism Testing and Evaluation' string on the page is the site-wide nav/footer services menu — global-menu-only, therefore UNSTATED. Two fetches disagreed on whether that string also sits in the body; the verbatim location list does not contain it, so I treat it as nav-only and drop confidence to MEDIUM. The page's 'Mental Health Conditions We Treat at Celebration, FL Location' list (~35 items) was summarized rather than fully enumerated by both fetches, and neither reported 'Autism' in it. ABA/applied behavior analysis: confirmed absent from the entire page. serves_children = Y from the location page's own 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics' plus 'Child and Adolescent Psychiatry' / 'Child and Adolescent Therapy' in its own services list. No clinician cards with specialty tags (clinicians appear only in testimonials). 2-attempt cap reached for this page."
LifeStance,Clermont,https://lifestance.com/location/clermont-fl-17011-state-road-50/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,HIGH,"ABA/applied behavior analysis: absent from the whole page. The ONLY autism string on the page is the site-wide nav/footer menu link 'Autism Testing and Evaluation' — global menu carried on every LifeStance page, NOT location-level evidence, so all three autism answers are UNSTATED. Notably this location's own fully-enumerated 'Mental Health Conditions We Treat' list does NOT contain autism (ADHD, Alcohol use, Anger issues, Anxiety, Attention & focus ... Social skills & communication, Stress management, Trauma & PTSD, Video game/internet), whereas the sibling Brandon FL page does list 'Autism' — so the omission looks meaningful, but the page never affirmatively says autism is not served, hence UNSTATED rather than N. Its own services list is the standard 24-item block with only generic 'Neuropsychological Testing' and 'Psychological Testing and Evaluation'. serves_children = Y from location body: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics' and 'personalized care for children, adolescents, adults, and new parents'. No clinician cards with specialty tags on this page."
LifeStance,Fort Lauderdale,https://lifestance.com/location/fort-lauderdale-fl-2400-e-commercial-boulevard/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,HIGH,"ABA/applied behavior analysis: absent from the whole page. The ONLY autism string is the site-wide nav/footer services menu link 'Autism Testing and Evaluation' — global menu on every LifeStance page, not location-level evidence, so all three autism answers are UNSTATED. This location's own 'Mental Health Conditions We Treat at Fort Lauderdale, FL Location' list is fully enumerated (ADHD, Anger issues, Anxiety, Attention & focus, Bipolar Disorder, Depression/feeling down, Focus concentration & memory, Grief & loss, Intense mood changes, Menopause & perimenopause, Other women's health concerns, PMS & PMDD, Panic attacks, Self-esteem, Sexual trauma, Sleep issues or insomnia, Stress management, Trauma & PTSD) and contains no autism, while sibling Brandon FL does list 'Autism' — suggestive but not an affirmative denial, so UNSTATED not N. Own services list is the standard 24-item block, testing named only as 'Neuropsychological Testing' / 'Psychological Testing and Evaluation'. serves_children = Y from location body: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics' and 'children, adolescents, adults, and new parents'. No clinician cards with specialty tags on this page."
LifeStance,Fort Myers,https://lifestance.com/location/fort-myers-fl-8570-granite-ct/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,HIGH,"ABA/applied behavior analysis: absent from the whole page. The ONLY autism string is the site-wide nav/footer services menu link 'Autism Testing and Evaluation' (https://lifestance.com/services/autism-testing-evaluation/) — global menu on every LifeStance page, NOT location-level evidence, so all three autism answers are UNSTATED. The location's own fully-enumerated 'Mental Health Conditions We Treat' list contains no autism; it does include 'Childhood behavioral issues' and 'School behavioral issues', which per the task rules do NOT imply ABA or autism and were not counted. Own services list is the standard 24-item block; testing named only generically as 'Neuropsychological Testing' and 'Psychological Testing and Evaluation'. serves_children = Y from the location's own body: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics' and 'children, adolescents, adults, and new parents'; its services list also names 'Child and Adolescent Psychiatry' and 'Child and Adolescent Therapy'. No clinician cards with specialty tags (providers named only in testimonials)."
LifeStance,Hollywood,https://lifestance.com/location/hollywood-fl-4000-hollywood-blvd/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,HIGH,"ABA/applied behavior analysis: absent from the whole page. The ONLY autism string is the site-wide nav/footer services menu link 'Autism Testing and Evaluation' — global menu on every LifeStance page, not location-level evidence, so all three autism answers are UNSTATED. The location's own fully-enumerated 'Mental Health Conditions We Treat' list (ADHD, Alcohol use, Anger issues, Anxiety, Attention & focus, Depression/feeling down, Drug/substance use, Family conflict, Focus concentration & memory, General relationship issues, Marital stress or divorce, Menopause & perimenopause, Obsessive Compulsive Disorder, Other women's health concerns, PMS & PMDD, Panic attacks, Premarital counseling, Self-esteem, Sexual trauma, Stress management, Trauma & PTSD) contains no autism. Own services list is the standard 24-item block; testing only generic ('Neuropsychological Testing', 'Psychological Testing and Evaluation'). serves_children = Y from location body: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics' and 'children, adolescents, adults, and new parents', plus 'Child and Adolescent Psychiatry' / 'Child and Adolescent Therapy' in its own list. The page has a 'Providers At This Location' section but no clinician names or specialty tags were rendered in the fetched content, so no clinician-listing evidence was available."
LifeStance,Jacksonville,https://lifestance.com/location/jacksonville-fl-9995-gate-parkway/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,HIGH,"ABA/applied behavior analysis: absent from the whole page. The ONLY autism string is the site-wide nav/footer services menu link 'Autism Testing and Evaluation' — global menu on every LifeStance page, not location-level evidence, so all three autism answers are UNSTATED. The location's own 'Mental Health Conditions We Treat' list is short and fully enumerated (ADHD, Anger issues, Anxiety, Attention & focus, Bipolar Disorder, Depression/feeling down, Family conflict, General relationship issues, Intense mood changes, LGBTQ+, Marital stress or divorce, Obsessive Compulsive Disorder, Panic attacks, Premarital counseling, Self-esteem, Stress management) and contains no autism. Its own 'Jacksonville, FL Therapy & Psychiatry Services' list is the standard 24-item block; testing only generic ('Neuropsychological Testing', 'Psychological Testing and Evaluation'). serves_children = Y from location body: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics' and 'children, adolescents, adults, and new parents', plus 'Child and Adolescent Psychiatry' / 'Child and Adolescent Therapy'. No clinician cards with specialty tags on this page."
LifeStance,Kissimmee,https://lifestance.com/location/kissimmee-fl-321-w-oak-street/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,MEDIUM,"Resolved over two fetches. The string 'Autism Testing and Evaluation' occurs on this page in the site-wide Services dropdown (desktop and mobile nav) and again in a repeated site-wide services menu block near the 'Insurances Accepted' area; the second fetch confirmed explicitly that 'Autism Testing and Evaluation' is NOT one of the items in the location's own list 'Kissimmee, FL Therapy & Psychiatry Services' (Acceptance and Commitment Therapy (ACT), Adult Psychiatry, Child and Adolescent Psychiatry, Child and Adolescent Therapy, Cognitive Behavioral Therapy, Couples Therapy, Dialectical Behavioral Therapy, EMDR Therapy, Family Therapy, Gottman Therapy, Group Therapy, Independent Medical Examination, Intensive Outpatient Therapy, Medication Management, Mindfulness Based Stress Reduction, Narrative Therapy, Neuropsychological Testing, Neurosequential Model, Play Therapy, Psychotherapy Services, Psychological Testing and Evaluation, Selectively Provided Services, Solution Focused Therapy, LifeStance Telehealth Services), and NOT in its 'Mental Health Conditions We Treat' list (42 items, ADHD through Video game/internet, no autism entry). So the only autism mention is the global menu — UNSTATED for all three autism questions; confidence MEDIUM because the first fetch mislabeled that menu block as body content. ABA/applied behavior analysis: absent from the entire page. serves_children = Y from the location's own body: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics' and 'children, adolescents, adults, and new parents', plus 'Child and Adolescent Psychiatry' / 'Child and Adolescent Therapy' in its own services list. No clinician cards with specialty tags on this page. 2-attempt cap reached."
LifeStance,Lakeland,https://lifestance.com/location/lakeland-fl-930-alicia-rd/,UNSTATED,UNSTATED,Y,Y,location page; footer,HIGH,"offers_any_autism_service = Y from the LOCATION PAGE's own body content: the section 'Mental Health Conditions We Treat at Lakeland, FL Location' lists 'Autism: generally independent'. That is location-level, not the global menu. offers_autism_eval = UNSTATED: the only 'Autism Testing and Evaluation' string is the site-wide nav/footer 'Services & Conditions' menu that renders on every LifeStance page — flagged and not counted; the location's own services list (standard block from 'Acceptance and Commitment Therapy (ACT)' through 'LifeStance Telehealth Services') names testing only generically. offers_aba = UNSTATED: 'ABA'/'applied behavior analysis' not found anywhere on the page. Its conditions list does include 'Childhood behavioral issues' and 'School behavioral issues', which per task rules do NOT imply ABA. serves_children = Y from location body: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics' and 'children, adolescents, adults, and new parents'. No clinician cards with specialty tags (providers named only in patient reviews)."
