id,name,city,operating,website_found,primary_service,delivers_aba,bcba_found,autism_relevant,recommend,evidence_url,evidence_quality,notes
8857,Accelerated Resolution Therapy,Orlando,Y,https://acceleratedresolutiontherapy.com/,Accelerated Resolution Therapy (an eye-movement trauma/PTSD psychotherapy modality) - founder's own practice plus clinician training courses and modality promotion,N,N,N,REMOVE,https://acceleratedresolutiontherapy.com/,HIGH,"Site is built around ""What Is ART"", ""Therapist Training"" and ""Meet ART Founder"" - a trauma-psychotherapy modality-promotion and training entity, not an autism service provider. Zero mention of autism, ABA or BCBA anywhere on the site."
6647,AdventHealth Pediatric Rehab East Orlando,Orlando,Y,https://www.adventhealth.com/locations/sports-medicine-and-rehab/central-florida/services/pediatric-rehabilitation,"Outpatient pediatric rehabilitation - occupational therapy, physical therapy, speech therapy, audiology and neurological rehab (7975 Lake Underhill Rd, East Orlando)",N,N,Y,KEEP_OTHER,https://www.adventhealth.com/locations/sports-medicine-and-rehab/central-florida/services/pediatric-rehabilitation,HIGH,"The East Orlando pediatric rehab site itself publishes only ""Audiology, Neurological Rehabilitation, Occupational Therapy, Physical Therapy, Speech Therapy"" - a genuine OT/PT/speech line, no ABA and no BCBA. The stored URL is the system-wide children's-care page whose ""from autism-spectrum disorders to orthopedic injuries"" line is site-wide chrome; AdventHealth's actual autism diagnostic work sits with the separately named AdventHealth for Children Pediatric Developmental and Behavioral Care / AdventHealth Medical Group autism practice, so this record is not credited with it."
6898,"AER Mental Health Services/Andria Estrella-Roa, LMFT",Orlando,Y,https://aermentalhealth.com/,"Solo LMFT general mental health practice - individual/family therapy and ""immigration psychosocial mental health evaluations""",N,N,N,REMOVE,https://aermentalhealth.com/,HIGH,"Andria Estrella-Roa is an LMFT (Licensed Marriage and Family Therapist), not a BCBA - BCBA test fails outright, and an LMFT using behavioral methods is not an ABA provider. Practice is trauma-informed general counseling for abuse survivors, domestic violence victims and families with no autism service line."
6815,AK Behavioral Health Clinic,Orlando,Y,https://www.vitadox.com/practice/orlando-fl-32822/aponte-klein-inc/a5D9c7BJndMLYRycPopWdR,"Applied behavior analysis - legal name Aponte & Klein, Inc., a multi-site Central Florida behavior-analysis practice (Orlando 5575 S Semoran Blvd Ste 7, plus Kissimmee)",Y,unclear,Y,KEEP_ABA,https://www.vitadox.com/practice/orlando-fl-32822/aponte-klein-inc/a5D9c7BJndMLYRycPopWdR,MEDIUM,"No stored website and none exists - searched the business name, phone, NPI registry and BACB/behavior-analyst listings, and the only primary record is NPI 1982066205 for Aponte & Klein, Inc., registered since 2016 as ""a behavior analyst office"" with Behavior Analysis taxonomy, which requires BCBA or state behavior-analyst credentialing. Staff are listed as ""Behavior Analyst"" without a named individual BCBA, so bcba_found is unclear; ABA-specific provider directories carry both its Orlando and Kissimmee sites but those are aggregators and are not relied on."
9130,Amor Therapy Services,Orlando,Y,https://amortherapyservices.com/,"Pediatric ""behavior therapy"" of unstated modality targeting social/communication, daily living and attention skills; founder is Diana Rosa Lorie Arnau, MS Ed",unclear,N,unclear,UNCLEAR,https://amortherapyservices.com/services/,HIGH,"Body content offers only ""Behavior Therapy... social and communication, daily living, positive generalization, attention behavior skills"" - ABA-adjacent language plus an ABA International logo, but no BCBA or RBT is named on the site or found in web search, and the founder holds an MS in Education, so the BCBA test is not met. The ""Speech & Occupational Physical Therapy Services"" claim appears only in the page-title/meta chrome and in no body copy, and the site never mentions autism."
8797,APG Healthcare,Orlando,Y,https://www.apghealth.com/apg-center-for-autism-adhd/,"General outpatient mental health practice (therapy, counseling, medication management, TMS) whose APG Center for Autism & ADHD provides ""Psychiatric Evaluations"" and ""Medication Management for children, adolescents, and adults for ages 4 and up""",N,N,unclear,REMOVE,https://www.apghealth.com/apg-center-for-autism-adhd/,HIGH,"The autism sub-clinic's own page lists only psychiatric evaluation, medication management, early-intervention recommendations and parent education, staffed by one psychiatrist and two pediatric nurse practitioners - psychiatry, which the rule removes, not ABA or autism diagnostic testing. No BCBA or RBT anywhere on the site, and the affiliated APG Research LLC autism activity is clinical-trial recruitment, which is also REMOVE."
6591,ASGO,Orlando,Y,http://www.asgo.org/,"Autism Society of Greater Orlando - autism support/recreation nonprofit running social skills groups, Autism Art programming, family events and first-responder training",N,N,Y,KEEP_OTHER,http://www.asgo.org/,HIGH,"ASGO is the Autism Society of Greater Orlando, ""one of the oldest and largest autism parent-led organizations in the State of Florida,"" and it runs actual direct programming - Social Skills Groups, Autism Art, and the Autism Walk and Family Fun Day - not advocacy alone. Support-group and recreation programming makes it KEEP_OTHER; it delivers no ABA and no BCBA is named."
6770,Aspire Health Partners - Oasis Adolescent Center (OAC),Orlando,Y,https://aspirehealthpartners.com/programs-and-services/program-details/27/Oasis-Adolescent-Campus,"Residential behavioral health treatment for adolescents ages 13-17 - substance abuse/dependence, trauma, sexual exploitation and mental health",N,N,N,REMOVE,https://aspirehealthpartners.com/programs-and-services/program-details/27/Oasis-Adolescent-Campus,HIGH,"The named location's own program page says it ""provides residential treatment services for adolescent males and females, ages 13-17, with behavioral health disorders"" covering ""substance abuse and dependence, trauma, sexual exploitation, and mental and emotional health"" - substance-use and psychiatric treatment, which the rule removes. Judged on the OAC campus itself rather than the Aspire Health Partners parent; no autism, ABA or BCBA content on the program page."
7458,Child Developmental and Diagnostic Center,Orlando,Y,https://cdorlando.com/pages/services,"Autism diagnostic evaluation (ADOS-2) plus ADHD/learning-disability/gifted-IQ psychological testing, speech and language therapy, and child/family counseling",N,N,Y,KEEP_OTHER,https://cdorlando.com/pages/services,HIGH,"Services page states ""Yes, we offer evaluations using the ADOS-2, a trusted and widely used tool for diagnosing Autism Spectrum Disorder in children, teens, and adults"" - a real autism diagnostic line, not name inference, and confirmed on two separate pages so not site chrome. No ABA or BCBA mention anywhere; the behavioral work is counseling-based attention/behavior support."
6500,Chosen Therapy services,Orlando,Y,https://chosentherapyservices.com/,"Outpatient mental health counseling/psychotherapy (individual, child & adolescent, couples, family) and mental health assessments, telehealth and in-person",N,N,N,REMOVE,https://chosentherapyservices.com/,HIGH,"Own site lists only ""Individual & Family Therapy"", ""Couples Therapy"" and mental health assessments, with specialty areas ""PTSD/Complex PTSD, Grief/Bereavement, Depression and Anxiety"" - a general LMHC counseling practice with no autism service line. No BCBA anywhere; one staffer lists ""Registered Behavioral Technician Training"" as a past credential, which under the BCBA test does not make this an ABA provider."
