id,name,city,insurances_found,no_slug_plans,scholarships_mentioned,self_pay_only,source_page_url,evidence_location,confidence,notes
6725,ABA Therapy Center: On & Up Behavior Therapy,Aventura,SITE_UNREACHABLE,,,N,,none found,LOW,"onupbehavior.com blocks all crawling: robots.txt returns 'All paths disallowed'. First attempt hit a robots.txt 429 rate limit; retried http and https root, both refused. Bot-block, not a confirmed dead domain."
6804,"Rachel Azrin, BCBA",Aventura,NO_LIST,,,N,https://www.counselornorthmiamifl.com/,body copy,MEDIUM,"No insurer named anywhere. Only payment statement is: 'To be able to ensure equal access to services, the clinic provides affordable treatment on a sliding-scale basis.' Sliding scale is not a self-pay-only declaration, so self_pay_only = N. A /fees path failed robots.txt parsing."
6769,Spring Health Autism Intervention,Aventura,NO_LIST,,,N,http://springhealthautism.com/,none found,MEDIUM,"Homepage names no insurer and carries no insurance copy at all. Nav is only HOME / ABOUT US / ABOUT AUTISM / SERVICES / CONTACT US - no insurance, funding or FAQ page exists. /services returned 404."
8892,Thrive Behavioral Therapy,Aventura,aetna|florida-blue,Magellan,Step Up for Students - Family Empowerment Scholarship for Unique Abilities,N,http://www.thrivebehavioraltherapy.com/,body copy,MEDIUM,"[trap d] Three named payers in homepage body copy. Also states 'For most other commercial/private insurances, we can create a single-case agreement.' - that clause names no plan, so nothing was inferred from it. Step Up For Students / FES-UA kept out of plans_verbatim per trap d."
7349,The Kelly Behavioral Institute,Belle Isle,NO_LIST,,,N,http://kellybehavioralinstitute.com/,none found,MEDIUM,"Homepage and the ABA therapy service page name no insurer and contain no insurance copy of any kind - not even a generic sentence. Nav is Home / About Us / ABA Therapy / Professional Consulting / Training; no insurance, funding or FAQ page. /about-us returned 404."
10594,ABA Centers of Florida - Boca Raton,Boca Raton,NO_LIST,,,N,https://abacentersfl.com/insurance-accepted/,insurance page,MEDIUM,"[trap b,c] Dedicated 'Insurance Accepted' page names zero carriers and shows no logos. Verbatim: 'We accept most insurance plans' and 'We work with most major insurance companies and will do all of the legwork for you', plus a 'Free Insurance Verification' link to the contact form. Multi-location chain (ABA Centers of Florida / ABA Centers of America); Boca Raton appears only as a footer address with no location-specific insurance page, so nothing on the site is Boca-specific."
7186,"Creative Occupational Therapy Services, LLC",Boca Raton,NO_LIST,,,N,http://www.creativeotservices.com/,none found,MEDIUM,"Homepage contains no insurance, payment or funding content at all and no internal links to an insurance/fees/FAQ page; /insurance returned 404. No insurer named and no self-pay statement, so NO_LIST."
7346,The Play Base ABA Therapy,Boca Raton,florida-medicaid|aetna|cigna|florida-blue,,,N,https://us.theplaybase.com/aba-insurance-accepted/,insurance page,HIGH,"Dedicated ABA insurance page: 'We proudly accept a variety of insurance plans, including Medicaid, Blue Cross Blue Shield, Aetna, and Cigna.' The same four also appear as a logo strip on that page, so body copy and logos agree. Site states 'Services are only available in South Florida', consistent with the Boca Raton row - single service area, no per-location page."
6989,Envisioning Hope Counseling,Brooksville,NO_LIST,,,N,http://envisioninghopecounseling.com/,none found,MEDIUM,"Single-page counselor site (also loaded at the www host). No insurer named, no payment or fee copy, no navigation to any insurance/fees page, and /insurance returned 404. Page is clinician bio and service descriptions only. Note the site itself lists Spring Hill, not Brooksville."
5880,HCA Florida Oak Hill Hospital,Brooksville,aetna|cigna|florida-blue|humana|unitedhealthcare|molina|sunshine-health|wellcare,Align Senior Care|American Health Plan of Florida|AmeriHealth Caritas Florida|AvMed|Careplus|CareSource|Claritev|Community Care Plan|CorVel|Devoted|Doctors HealthCare Plans|Evolutions|Florida Complete Care|Freedom Health|Gold Kidney of Florida|HealthSpring|Longevity Health Plan|Optimum|Oscar|Plotkin Health|Secur Health Plan|Simply Healthcare Plans|Solis Health Plans|Ultimate Health Plan|Wellmed|Wellpoint,,N,https://www.hcafloridahealthcare.com/locations/oak-hill-hospital/for-patients/insurance-information,insurance page,MEDIUM,"[trap b] Location-specific page under the Oak Hill Hospital (Brooksville) path of the HCA Florida site, not the corporate-wide list - used deliberately because HCA is a large multi-hospital chain. Page also states: 'Our facility accepts all forms of United States, Canadian, and other foreign government insurance, including Medicare, Medicaid, Champus, Workers Compensation and all forms of commercial insurance.' Medicare/Medicaid/Champus come from that sentence and were not added to the named carrier list. Caveat for the directory: this is a general acute-care hospital's payer list, not an ABA-specific one."
7044,LifeSpring Counseling Center,Brooksville,florida-medicaid|medicare|aetna|cigna|florida-blue|unitedhealthcare|sunshine-health,Anthem Elevance|AvMed|Beacon|Empire|GHI|Golden Rule|Harvard Pilgrim|HealthAdvocate|Lucet|Magellan|Oscar|Oxford|Surest|Tufts,,N,https://lifespringcounseling.center/contact/,insurance page,MEDIUM,"ANTHEM SIGHTING - Anthem does not operate in Florida, so this reads as a national brand strip rather than a verified Florida panel; confidence lowered. Full named list on the practice's own contact/about page, reached from the homepage prompt 'Check accepted insurance plans or self pay options'. Page carries its own caveat: 'Not all listed insurances are accepted by every counselor. Please verify which insurances are accepted by each individual counselor under each counselor's Insurance & Payments section on the Counselors page.' Anthem Elevance, Empire, GHI, Harvard Pilgrim, Oxford and Tufts are non-Florida brands - an Anthem sighting, so this reads as a national payer roster rather than a verified Brooksville panel."
6675,ABA For Life Behavioral Solutions,Cape Coral,SITE_UNREACHABLE,,,N,,none found,LOW,"Canva-hosted site. The CSV URL abaforlifebs.my.canva.site/aba-for-life-website returns HTTP 404 on all three attempts (slug, slug with trailing slash, and the subdomain root) - the Canva site appears unpublished or deleted. Web search surfaced no alternative first-party domain, only directories/aggregators which are not permitted as a source."
7222,ABC CHILDREN BEHAVIOR ABA Therapy,Cape Coral,florida-blue|humana|tricare,New Direction,,N,https://www.abcchildrenbehaviorabatherapy.com/booking-calendar/private-insurances,intake page,MEDIUM,"Homepage has an 'Insurances' menu item but names no carrier; the five payers are printed on the site's own 'Private insurances' booking/intake page linked from that menu. Single-location Cape Coral provider, so no multi-location ambiguity."
