id,name,city,operating,website_found,primary_service,delivers_aba,bcba_found,autism_relevant,recommend,evidence_url,evidence_quality,notes
7075,AB&C Therapeutic Solutions,Cape Coral,Y,N,Outpatient mental health counseling (LMHC group practice; legal name Adriana Franceschini LLC),N,N,unclear,REMOVE,https://npiprofile.com/npi/1821588146,MEDIUM,"NPI 1821588146 taxonomy is 101YM0800X Mental Health Counselor only; listed staff are LMHC/RMHCI/CMHC-RI with no BCBA and no behavior-analyst taxonomy, which is strong evidence against the ABA tag. No website of its own was found (only aggregator listings), and nothing found states an autism or DD focus."
8880,Crossworks Therapy By the BEACH,Cape Coral,unclear,N,Counseling / mental health psychotherapy (apparently faith-based); no evidence of ABA or of an autism caseload,N,N,unclear,REMOVE,https://paracor.org/crossworks,LOW,"Its own site crossworks.me returns 404 and no organizational NPI was found; every remaining hit is an aggregator (Yelp categorises it 'Counseling & Mental Health'), so no BCBA, no ABA and no autism signal anywhere. Storage oddity: the Sunbiz entity is plain 'CROSSWORKS' (P14000060257) and 'Therapy by THE BEACH' is a program/trade suffix that the directory has baked into the business name field."
7319,Crystal Angels Behavior Center Inc,Cape Coral,Y,Y,ABA / behavior-analytic therapy for children diagnosed with autism and ADHD/ODD,Y,Y,Y,KEEP_ABA,https://npiprofile.com/npi/1316553134,HIGH,"Passes the BCBA test with two independent signals: org NPI 1316553134 carries behavior-analyst taxonomy 103K00000X and co-owner Adianys Carrazana Ramirez holds her own behavior-analyst NPI 1114374915 plus a BACB certification dated Aug 2018, alongside a dedicated 'What is ABA?' page (not footer chrome) and an own-authored listing describing 'behavior therapy to children diagnosed with autism and ADHD/ODD'. Caveat: the NPI service address is 1501 SE 21st Ln, not the 4831 Coronado Pkwy address stored in the directory — worth reconciling, and its own site is crystalangelsbehavior.com."
6610,"Family Initiative, Inc",Cape Coral,Y,Y,"Autism-focused nonprofit: ABA therapy and occupational therapy plus free ASD screenings, social-skills playgroups and teen/young-adult groups; Cape Coral is the headquarters site flagged 'A Focus on ASD support'",Y,Y,Y,KEEP_ABA,https://www.fi-florida.org/leadership,HIGH,"Named BCBA is co-founder/VP Anjali Van Drie, MA, LCSW, BCBA, and ABA Therapy is listed as a distinct clinical service rather than footer chrome; the whole organisation is ASD-specific, so autism relevance is not in doubt. Caveat on crediting the Cape Coral entry: the locations page marks Cape Coral (734 SW 4th St) as an ASD-support site but does not itemise which clinical services run there, and the org's Sarasota/Miami/St. Petersburg sites are child-welfare centres — so the ABA verdict rests on org-level service pages, not a Cape-Coral-specific service list."
6551,Healing Horizons Therapy,Cape Coral,Y,Y,"Adult/couples/family psychotherapy — EMDR trauma therapy, individual, couples and family counselling by a single LMFT",N,N,N,REMOVE,https://www.myhealinghorizons.com/,HIGH,"Sole clinician Monique Smith is an LMFT/MHC1 with EMDR certification — no BCBA, no RBT, no behaviour-analytic service anywhere on the site, which is strong evidence against the ABA tag. The presenting problems listed are trauma, PTSD, anxiety, depression, grief and relationship issues with no autism or developmental-disability focus; note the site has an 'All Conditions' index page of the kind that can produce chrome-level autism mentions, so any such mention should not be read as service evidence."
6678,Homegrown Therapy of SWFL,Cape Coral,Y,Y,"Pediatric occupational, speech-language and physical therapy (birth to adolescence), including in-home visits in Cape Coral; ADOS-2 autism evaluation capability",N,N,Y,KEEP_OTHER,https://www.homegrowntherapyswfl.com/our-team,HIGH,"Named-staff page lists only OTR/L, COTA/L, DPT/PTA and CCC-SLP credentials with no BCBA or RBT anywhere, so the ABA tag is wrong; owner Janielle Craig OTR/L 'specializes in feeding, sensory, motor, and Autism Spectrum Disorder' and is ADOS-2 certified, as is SLP Afton Theobald. Clearly pediatric rather than adult OT (birth-to-adolescent, medically fragile, Step Up for Students scholarship accepted), so it belongs in the directory retagged to occupational-therapy / speech-therapy / physical-therapy / feeding-therapy plus ados-testing."
6702,"Linda Morrison, LCSW",Cape Coral,Y,N,"Solo clinical social work psychotherapy for adults and elders — relationship issues, anxiety, life transitions, trauma, grief, substance use; in-person and teletherapy",N,N,N,REMOVE,https://www.psychologytoday.com/us/therapists/linda-morrison-cape-coral-fl/58483,MEDIUM,"An LCSW is not an ABA provider under the BCBA test, and her NPI taxonomy is 1041C0700X Clinical Social Worker with no behaviour-analyst code; her own profile names no autism, Asperger's or developmental-disability specialty and her stated caseload is adults and elders 65+, so the record is neither ABA nor autism-relevant. She has no website of her own — the only self-authored description is a Psychology Today profile, which is why quality is MEDIUM; her suite at 2301 Del Prado Blvd S #180 sits inside a shared salon-suite building and a Yelp listing carries a different address (4818 Coronado Pkwy)."
8871,Palm Therapy Associates LLC,Cape Coral,Y,Y,"Pediatric speech-language pathology — speech/language disorders, early intervention and ADOS autism testing",N,N,Y,KEEP_OTHER,https://palmtherapy.clientsecure.me/,HIGH,"Sole clinician Ginny Frankel, M.Ed., M.S., CCC-SLP is an ASHA-certified speech-language pathologist and Nationally Board Certified Autism Specialist with no BCBA credential and no ABA offering, so the ABA tag is wrong; her stated service list — 'Speech Disorders, Autism Spectrum Disorder, Early Intervention, ADOS Testing, Developmental Disorders' — is explicit and autism-specific, so retag to speech-therapy plus ados-testing. Correction to the record: the directory stores no website, but the practice does have a working site at palmtherapy.clientsecure.me (a SimplePractice-hosted page), and the Sunbiz entity is PALM THERAPY ASSOCIATES LLC (L21000162008)."
6818,"Prestige Behavioral Center, LLC.",Cape Coral,Y,Y,"ABA therapy for children with autism, delivered in homes, schools and a center",Y,unclear,Y,KEEP_ABA,https://www.prestigebehavioralcenter.com/,HIGH,"Own site is entirely ABA (not chrome - it is the whole site), and NPI 1457926305/1427947662 carry a Behavior Analyst primary taxonomy under authorized official Arianna Danta, with open BCBA/BCaBA/RBT postings; no individual BCBA is named anywhere, so the second signal is registry/hiring rather than a named clinician. Address mismatch: record says 303 NE 3rd Ave Cape Coral, site and NPI say 150 Pondella Rd, North Fort Myers (second NPI location in Naples)."
7343,Puzzle Therapy Services,Cape Coral,Y,Y,Pediatric applied behavior analysis (ABA) therapy for developmental and behavioral disorders,Y,Y,Y,KEEP_ABA,https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=Puzzle%20Therapy*&state=FL,HIGH,"Named BCBA is Manuel Rodriguez, BCBA, president and authorized official on NPI 1831820695, whose taxonomies are Behavior Analyst, Assistant Behavior Analyst and Behavior Technician - the RBT-tier second signal - and the about and contact pages both describe ABA rather than a footer mention. Ignored the puzzle-piece branding; site addresses developmental and behavioral disorders generally and never says autism, so autism relevance rests on the ABA/DD service line; own site puzzletherapyservices.com."
7350,Sports Specialty and Rehab,Cape Coral,N,Y,Outpatient sports/orthopedic physical therapy; the standalone practice is gone and the domain now points to Select Physical Therapy,N,N,N,REMOVE,https://www.selectphysicaltherapy.com/,HIGH,"Confirmed the prior audit: sportsspecialty.com returns a 302 to selectphysicaltherapy.com, a national adult outpatient ortho/sports/work-injury PT chain with no ABA or autism content, so the record has no site of its own. Select lists a generic pediatric therapy line corporately, but that is chain-wide chrome and is not evidence about this Cape Coral address."
5861,BayCare Kids Specialty Center- Mease Countryside,Clearwater,Y,Y,"Hospital-based pediatric multispecialty outpatient center - cardiology, endocrinology, infectious disease, neurology, pulmonology, medical nutrition, and pediatric rehab (speech, OT, PT); no behavioral or autism program",N,N,unclear,KEEP_OTHER,https://baycare.org/locations/b/baycare-kids-specialty-center-mease-countryside,HIGH,"Stored URL 404s; the live page at /locations/b/baycare-kids-specialty-center-mease-countryside lists this location's own specialties and names no autism, ABA, behavior analysis or developmental-behavioral pediatrics - BayCare's autism work sits under separately named BayCare Behavioral Health entities and must not be credited here. Drop the ABA tag and replace the dead URL with the live one; keep only for pediatric neurology and pediatric speech/OT/PT if the directory admits those."
8612,Behavioral Evaluation Program,Clearwater,Y,Y,Court administration unit - the Sixth Judicial Circuit's Behavioral Evaluations office (court-ordered competency/forensic evaluations) inside the Pinellas County Justice Center,N,N,N,REMOVE,https://www.jud6.org/about/contact-us/,HIGH,"Settled the prior UNCLEAR: the Sixth Judicial Circuit contact directory lists 'Behavioral Evaluations' at exactly the stored phone 727-464-7373 and address 14250 49th St N, room J3701, the Pinellas County Justice Center courthouse. It is a court function ordering evaluations, not a direct service provider, and nothing ties it to autism, ABA or a BCBA."
6878,Center For Positive Change,Clearwater,Y,Y,"Solo outpatient mental-health counseling and life coaching (depression, anxiety, trauma, substance abuse, relationships) by Judy Becker, LMHC",N,N,N,REMOVE,http://www.center4positivechange.com/,HIGH,"Home page and site title are entirely adult depression/anxiety counseling for Clearwater, Dunedin and Palm Harbor with no autism, developmental-disability, child or ABA content anywhere; the only named clinician is an LMHC, which the BCBA test explicitly excludes. Interior pages returned 403 so the read rests on the home page, but nothing on it or in search results points to autism work."
9000,Creating independence academy,Clearwater,Y,N,Adult day training / supported-independence day program for adults with intellectual and developmental disabilities - not a school despite the name 'Academy',N,N,Y,KEEP_OTHER,https://www.guidestar.org/profile/93-1492892,MEDIUM,"501(c)(3) (EIN 93-1492892, principal officer Rodney Jackson) whose GuideStar mission is care and training for individuals with intellectual disability, at the exact stored address 6170 Ulmerton Rd Ste 103, and it is indexed as an adult day care center - a DD day program, not ABA and no BCBA named. Its own site creatingindependenceac.com could not be loaded on two attempts (robots.txt connect timeouts, so not proof it is down), leaving the finding on the nonprofit filing rather than a provider-owned page."
