id,name,city,operating,website_found,primary_service,delivers_aba,autism_focus,recommend,evidence_url,evidence_quality,notes
6882,Autism Rescue Mission,Miami,Y,https://autismrescuemissioncom.wordpress.com/,Fundraising nonprofit that raises money and awards scholarships/assistance so autism families can buy services elsewhere; no clinical services delivered in-house,N,Y,REMOVE,https://autismrescuemissioncom.wordpress.com/our-story/,HIGH,"Stored site www.autismrescuemission.com does not resolve (DNS failure); the live site is the WordPress domain, where Our Story says ""we decided to fundraise every year to help families affected by Autism in hopes that they maybe receive the services they need"" - a grantmaker, not a provider. Home and Our Story pages both show only Home/Contact/Our Story/Donate Now, with no program, clinic, ABA or BCBA content on either."
8612,Behavioral Evaluation Program,Clearwater,unclear,,Could not establish,unclear,unclear,UNCLEAR,,LOW,"No stored website; searches on the exact name plus Clearwater and on the stored phone ""727-464-7373"" returned no matching organization - the phone search surfaced only Pinellas County government and Sixth Judicial Circuit pages, the name search only unrelated Clearwater behavioral health facilities. Nothing establishes whether this is an autism diagnostic service, a court/forensic evaluation program or a school-district program, so no verdict is supportable."
6907,Behavioral Health Solutions,Tallahassee,Y,http://www.behavioralhealthtallahassee.com/,"General outpatient mental health diagnostic evaluations (ADHD, anxiety, OCD, bipolar, PTSD, depression, ODD) by Dr. Kay Colvin-Guthrie; $375 self-pay",N,N,REMOVE,https://behavioralhealthtallahassee.com/?page_id=118,HIGH,"Homepage offers evaluations for ""ADHD (lack of focus and hyperactivity/impulsivity), PTSD, social and performance anxiety, bipolar disorder, depression, ODD, panic attacks, OCD, and other disorders"", and the separate Child and Adolescent Evaluations page names no autism, ABA, BCBA or RBT either - two distinct pages compared, neither mentions autism. This is general mental health assessment, not an autism or ABA service."
5827,Brain & Behavioral Institute of South Florida,Miami,Y,http://bbisf.com/,"Mixed outpatient mental health practice (psychotherapy, psychiatry, Brain State Training) that also runs a home-based, Medicaid-funded ABA line for autism",Y,N,KEEP_ABA,http://bbisf.com/applied-behavioral-analysis/,HIGH,"The dedicated ABA page is distinct content, not chrome, and states ""ABA is very effective in the treatment and management of Autism Spectrum Disorder in both individuals under 21 years old and those older than 21 years old"", describing home-based Medicaid-funded delivery. The staff list names Carlos Alayon (LMHC) as the autism/ABA clinician and Argenis Molina as a Behavior Technician but no BCBA anywhere; autism is one population among many (substance abuse, eating disorders, domestic violence, PTSD)."
7357,Brighter Minds Behavioral Health LLC,Lake Worth Beach,Y,https://www.brightermindsbh.com/,Center-based and in-home ABA therapy for children with autism in Palm Beach County,Y,Y,KEEP_ABA,https://www.brightermindsbh.com/providers,HIGH,"The Providers page lists its clinical staff types as ""BOARD CERTIFIED BEHAVIOR ANALYSTS (BCBA)"", ""BOARD CERTIFIED ASSISTANT BEHAVIOR ANALYSTS (BCABA)"" and ""REGISTER BEHAVIORAL TECHNICIAN (RBT)"", while the separate homepage says the practice was founded ""to reach out to the Autism community in Palm Beach County"" and that they ""integrate the latest ABA findings and research to provide quality services"". Two distinct pages agree, so this is not site chrome."
6624,Children Autism Help,Miami,unclear,,Could not establish,unclear,unclear,UNCLEAR,,LOW,"childrenautismhelp.com failed on three separate load attempts (https, https+www and http all died on robots.txt connect timeout), and three searches on the name, the domain and the stored phone ""786-878-1331"" returned no page, listing or corporate filing for this organization. Per trap 2 the word ""autism"" in the name proves nothing, and with no content of any kind there is no basis to call it a provider, an advocacy group or defunct."
9088,Dandelion Behavioral Health - Fort Myers,Fort Myers,Y,,"Outpatient counseling / clinical social work psychotherapy (general mental health), not ABA",N,N,REMOVE,,LOW,"STORED-WEBSITE MISMATCH: dandelionbehavioral.com now belongs to the rebranded Dandelion Therapy Group (dandeliontherapygroup.com, which carries a /fort-myers location page), and the practice's own client portal is titled ""Dandelion Therapy Group (Legal Entity, Dandelion Behavioral Health, LLC)"", confirming the rebrand rather than a coincidence of names. Both domains return ""All paths disallowed by robots.txt"" so no page could be loaded within the 4-attempt cap; every listing found categorises it as ""Clinical Social Work/Therapist"" and ""Counseling & Mental Health"" across Port Charlotte, Punta Gorda and Fort Myers, with no ABA, BCBA, RBT or autism signal anywhere."
9099,Family Enrichment Behavioral Health Services,Hollywood,Y,http://www.febhs.org/,Applied Behavior Analysis (ABA) therapy for children,Y,unclear,KEEP_ABA,http://www.febhs.org/,MEDIUM,"Homepage body text, not chrome, states the mission is ""Applied Behavior Analysis therapy"" to help children develop ""independence and ability to contribute back to their communities"" and defines ABA as ""a therapy based on the science of learning and behavior""; the site also carries a distinct ""Gallery (Art in ABA)"" section. I could not corroborate on a second page - /services and /gallery returned 500 and /careers and /about-us returned 404, exhausting the 4-attempt cap - and autism is never named explicitly, nor are BCBA or RBT credentials."
6560,Infinite Spectrum Foundation Inc.,Tallahassee,Y,,"Direct autism community programming: vocational/job-skills training for autistic youth plus sensory-friendly enrichment classes and playdates (e.g. Neuro Ninja Parent & Me, Sensory Saturday)",N,Y,KEEP_OTHER,,MEDIUM,"This is a PROGRAM PROVIDER, not a grantmaker: its own site carries a dedicated programs section titled ""Autism Programs in Tallahassee"" at infinitespectrumfoundation.org/programs/, it runs its own Eventbrite organizer page, and WCTV reported in February 2026 under the headline ""Tallahassee nonprofit helps youth with autism build job skills"" - all describing services it delivers itself, none describing grants to other providers. Every load attempt on the domain (bare and www, root and /about and /programs/) was refused at robots.txt with an HTTP 202 bot challenge, exhausting the cap, so no page was actually loaded; nothing found names ABA, BCBA or RBT, so the aba tag is wrong even though the record belongs in the directory."
8873,"Lighthouse Behavioral Health, LLC",Ormond Beach,Y,,"Behavioral health agency employing Registered Behavior Technicians, i.e. ABA service delivery",Y,unclear,KEEP_ABA,,LOW,"lighthousebh.net refused every load attempt (www and bare host, https and http) with ""All paths disallowed by robots.txt"" or a 429, exhausting the 4-attempt cap, so the site's own service pages could not be read. The only substantive signal is a staff record for Shayla Anderson, ""Registered Behavior Technician at Lighthouse Behavioral Health"" with an @lighthousebh.net address - an RBT works only under a BCBA delivering ABA - against an NPI taxonomy of Community/Behavioral Health, so ABA delivery is probable but the autism share of caseload is unestablished."
7047,"My Autism Connection, Inc. (MAC)",Fort Myers,Y,http://myautismconnection.net/,"Nonprofit day/enrichment program for autistic adults 18+: social engagement groups, life-skills classes (poetry, yoga, improv, book club) and workforce readiness (career tours, resume workshops, mock interviews)",N,Y,KEEP_OTHER,http://myautismconnection.net/our-program,HIGH,"Program page describes three delivered service areas - ""Social Engagement"", ""Life & Career Skill Development"" and ""Workforce Readiness"" with named classes - so this is direct service delivery to autistic adults, not advocacy-only. Neither ABA nor BCBA appears on the home page or the program page."
6719,Onyx Behavioral Health,Port St. Lucie,Y,https://onyxbh.com/,"Inpatient/residential general mental health and psychiatry facility - individual, group and family therapy, CBT, DBT, trauma-focused CBT, ACT, psychiatric care",N,N,REMOVE,https://onyxbh.com/conditions/,HIGH,"Conditions page lists only ""anxiety and depression to bipolar disorder and PTSD"", plus borderline personality disorder and OCD - autism and ABA appear nowhere on either the home or conditions page. Stored URL carried utm_source/utm_medium/utm_campaign parameters which were stripped; same page loads."
7133,Rainbow of Life Behavioral Health Center,Lake Worth Beach,Y,https://rainbowoflifebhc.com/,"ABA therapy for children on the autism spectrum - initial behavior assessment, treatment planning, parent training, social skills training, six-month re-evaluations, delivered in home, school and community",Y,Y,KEEP_ABA,https://rainbowoflifebhc.com/services,HIGH,"Services page (distinct body content from the home page) states ""Applied Behavior Analysis (ABA) Has demonstrated to increase communication, learning, and appropriate social behaviors for children in the Autism spectrum"" and lists Initial Behavior Assessment, Treatment Planning and Parent Training as the service line. It also states ""Rainbow of Life Behavioral Health Center accept ALL insurance plan under FULL MEDICAID""; stored http:// URL redirects to the same site."
6575,Resilience Behavioral Health LLC,Winter Park,Y,https://www.resiliencebh.com/,"General outpatient behavioral health counseling/psychotherapy for children, adolescents, adults, couples and families (trauma-focused CBT, SPARCS)",N,N,REMOVE,https://www.resiliencebh.com/behavioral-health-care-services,HIGH,"The services page lists only counseling presenting problems - ""Disruptive behavior, Anger and aggression, Defiance and noncompliance... ADHD/Attention and focus problems... Anxiety, Depression... Substance use abuse"" - with autism, ABA and BCBA/RBT absent from both the home page and this page. Despite ""Behavioral Health"" in the name this is licensed mental-health counseling, not behavior analysis."
6645,Seeds of Hope Behavioral Health,Coral Gables,Y,http://seedsofhopebh.com/,"Mental health counseling practice - Parent-Child Interaction Therapy (PCIT), prenatal/postpartum therapy, individual psychotherapy, couples therapy, psychological/psychoeducational and gifted evaluations",N,N,REMOVE,http://seedsofhopebh.com/services-provided,HIGH,"The ""Services Provided"" page (content distinct from the generic home page) names ""Parent-Child Interaction Therapy (PCIT)"", ""Individual Psychotherapy"", ""Couples Therapy"" and ""Psychological/Psychoeducational Evaluations"" plus ""Gifted Evaluations"" - not ABA, and the listed evaluations are psychoeducational/gifted rather than autism diagnostic. Neither autism nor any BCBA/BCaBA/RBT credential appears on either page; this is a therapy/counseling practice, not a support group or parent-training program for autism."
8978,South Brevard Behavioral Med,Palm Bay,unclear,,"Registered as South Brevard Behavioral Medicine, P.A., a community/behavioral health practice in Palm Bay; nothing establishes what services are currently delivered",unclear,unclear,UNCLEAR,,LOW,"No stored website; web searches for ""South Brevard Behavioral Med"" and ""South Brevard Behavioral Medicine"" plus Palm Bay returned no site of its own - only aggregator/NPI stubs (Vitadox, CareDash, npiprofile, city-data), which per instruction were not used as evidence. With no page content of any kind, ABA delivery cannot be established from the name alone."
6974,Southeastern Behavioral Health,Tallahassee,Y,http://www.sebhfl.com/,"Multidisciplinary psychology practice - counseling/therapy and psychological, gifted, learning-disability and ADHD/social-emotional evaluations by psychologists, a school psychologist, LMHC/LMFT, with a behavior analyst also on the fee schedule",unclear,unclear,UNCLEAR,https://sebhfl.com/faq,HIGH,"The only behavior-analytic signal anywhere on the site is a fee-schedule row on the FAQ page - ""Behavior Analyst"" at ""$175 for initial session; $150/50-minute follow-up session"" - with no ABA service page, no BCBA/RBT wording, and no mention of autism or ASD on the home or FAQ pages. That single line cannot establish whether the behavior analyst delivers autism ABA intervention or general behavioral consultation within a psychology practice."
6842,Spectrum Research Group,Port Orange,unclear,,"Appears to be Spectrum Research Group, LLC, a clinical research/trial site in Port Orange rather than an autism service provider - ""Spectrum"" here denotes clinical research, not the autism spectrum",unclear,unclear,UNCLEAR,,LOW,"spectrumresearchgroup.com would not load on any of four attempts (www and bare host, http and https - repeated robots.txt connect timeouts), so no page of its own could be confirmed; searches return only a Florida LLC registration and clinical-research-center directory categorizations, plus a phone (386-957-5600) that differs from the stored (844) 914-4357. Nothing found connects it to autism, ABA or any family-accessible service, but with no loadable page the research-only REMOVE rule could not be verified."
6518,Step-by-Step Behavioral Health Services,Gainesville,Y,https://www.stepbystepbehaviorhealth.com/,"Community mental health agency for at-risk/DCF-involved youth and adults - psychosocial rehabilitation, targeted case management, outpatient counseling, family and group therapy, psychiatric services and medication management, plus prevention programs",unclear,N,REMOVE,https://www.stepbystepbehaviorhealth.com/services,HIGH,"The services page lists ""Psychosocial Rehabilitation, Community Family Services, Medical Services, Outpatient Services, Targeted Case Management"" and prevention topics such as ""Drug Prevention, Gun Safety, Anger Management"" for clients ""at risk for hospitalization, delinquency, residential placement"" and in DCF custody - autism, ASD, ABA and BCBA/RBT appear nowhere on the home or services page. A single line item ""Behavior Analyst"" sits at the end of the service list, which is the only behavior-analytic hint and is not enough to call it an ABA provider; stored URL step-by-stepbehaviorhealth.com 302-redirects to www.stepbystepbehaviorhealth.com."
7349,The Kelly Behavioral Institute,Belle Isle,Y,http://kellybehavioralinstitute.com/,"ABA therapy plus professional consulting and behavior-analytic training, delivered in clinic, school and home settings by a BCBA owner",Y,unclear,KEEP_ABA,https://kellybehavioralinstitute.com/about/,HIGH,"The About page (page-specific content, not the nav chrome) states the owner is a Board Certified Behavior Analyst with a Master's in Applied Behavior Analysis, 8 years in ABA and 4 years certified, delivering ABA in clinic, school and home; mission is ""To tactfully treat behavioral disturbances related to neurological, psychological, and/or developmental diagnoses"". The dedicated /applied-behavior-analysis-aba-therapy/ page is a near-empty stub (""Common diagnoses and behaviors of concern that benefit from ABA therapy include:"" with blank lists), so the About page rather than the ABA page is what settles it; autism appears only in image captions."
