id,name,city,operating,website_found,primary_service,delivers_aba,bcba_found,autism_relevant,recommend,evidence_url,evidence_quality,notes
6815,AK Behavioral Health Clinic,Orlando,Y,https://npiprofile.com/npi/1982066205,"Applied behavior analysis clinic (legal name Aponte & Klein, Inc.), Orlando",Y,Y,Y,KEEP_ABA,https://npiprofile.com/npi/1982066205,MEDIUM,"NPI 1982066205 carries taxonomy 103K00000X, defined as ""a behavior analyst ... qualified by at least a master's degree and Behavior Analyst Certification Board certification""; no independent org website was located (Facebook page blocked by robots.txt). Vitadox listing for the same address (5575 S Semoran Blvd Ste 7) is filed under specialty ""Behavior Analysis"" with six ""Behavior Analyst"" and two ""Behavior Technician"" staff, the RBT-level second signal."
7325,"Camen Behavioral Services, LLC",Orlando,Y,https://www.wearecamen.com/,"Applied behavior analysis therapy, multi-clinic (MetroWest, Waterford, Lake Ellenor) plus a separate Camen Academy school arm",Y,Y,Y,KEEP_ABA,https://www.wearecamen.com/,HIGH,"Parent site describes the named division as ""Camen Behavioral Services - provide personalized, high-quality behavior analysis services"" / ""ABA with compassion"", and the company's own Workable careers portal carries live ""BCBA - Board Certified Behavior Analyst"" and ""RBT - Registered Behavior Technician"" postings, with NPI 1275296097 filed under Behavioral Analyst taxonomy. SCHOOL FLAG: sibling division ""Camen Academy"" is a school for ""students with unique and neurodiverse backgrounds"" and is a separate arm from this ABA record; camenbehavioral.com subpages were blocked by robots.txt so the ABA service page itself could not be loaded."
6353,Fataj Transition & Learning Center LLC,Orlando,Y,https://www.fatajtlc.com/,"Clinic-, home- and school-based applied behavior analysis for autism; separate private school arm (FaTaj Transition and Learning Academy, VPK-grade 3)",Y,Y,Y,KEEP_ABA,https://www.fatajtlc.com/,HIGH,"Own site states it provides ""Applied Behavior Analysis (ABA) services to children, adolescence and young adults diagnosed with Autism and other related developmental and behavioral disabilities"", names director ""LaTeisha Gilzean, M.Ed., BCBA"" and references Registered Behavior Technicians - BCBA plus RBT second signal, independently confirming the earlier finding. SCHOOL FLAG: a distinct ""Private School"" nav section covers ""FaTaj Transition and Learning Academy - A Private School for Students with Varying Exceptionalities (Grades VPK-3)"", which belongs in the schools section rather than replacing this ABA listing."
6947,"FoundArt Academy, Inc. (ABA Services)",Orlando,Y,http://www.foundart.org/,"Arts-integrated applied behavior analysis therapy delivered center-based, in-home and school-based; not a graded school despite the ""Academy"" name",Y,unclear,Y,KEEP_ABA,https://www.bhcoe.org/aba-therapy/foundart-academy-orlando-florida-32819/,HIGH,"Homepage says it integrates ""the arts into evidence-based interventions, which serve as the cornerstone of Applied Behavior Analysis (ABA)"" and the separate /services page varies from it, listing in-home, school-based and center-based ABA - not chrome; the second signal is BHCOE ""Full Accreditation"" as an ABA provider ""since 2021"" through May 2027, citing care ""for autistic individuals"". SCHOOL FLAG RESOLVED: no grade levels or academic curriculum anywhere - ""Academy"" is branding, so it stays a therapy listing; no individual BCBA or RBT is named on any loaded page, so bcba_found is unclear even though BHCOE ABA accreditation requires BCBA clinical leadership."
6881,"Hidden Potential Florida, LLC",Orlando,Y,http://www.hiddenpotentialflorida.com/,"Applied behavior analysis for autism and other developmental disabilities, Central Florida",Y,Y,Y,KEEP_ABA,https://hiddenpotentialflorida.com/meet-the-team/,HIGH,"Homepage states ""Hidden Potential provides Applied Behavior Analysis to individuals with autism and other developmental disabilities"", and the separate Meet the Team page - content that varies from the homepage, not chrome - lists eight BCBAs (""Jennifer Blair, MA, BCBA, IBA"" as Clinical Director, plus Bournival, Diaz, Frank, Hofheins, O'Connor, Orozco and Morales Vazquez) and thirteen Registered Behavior Technicians. Independently reproduces the earlier finding exactly."
6767,"Indigo Kids Behavioral Learning, LLC",Orlando,Y,https://www.indigokidsbehavior.com/,"Applied behavior analysis - 1:1 clinic, home and school-based, verbal behavior, social skills, toilet training, independent living skills and caregiver training",Y,Y,Y,KEEP_ABA,https://www.indigokidsbehavior.com/meet-the-team,HIGH,"Homepage tagline reads ""Applied Behavior Analysis services for individuals with Autism & other developmental disabilities"", and the distinct Meet the Team page lists four certified analysts (""STEPHANIE FORD, MS, BCBA"" owner, ""TAYLOR PARKS, M.ED, BCBA"", ""DANA VEGA, MS, BCBA"", plus a BCaBA) alongside four named RBTs - BCBA plus RBT second signal. Minor flag: a sub-program ""Indigo Kids Learning Village"" with a ""Learning Village Teacher/BCaBA"" may be a classroom-style program, but no grade levels or academic curriculum were stated, so this stays a therapy listing."
7527,Pieces Behavioral Group,Orlando,Y,https://www.mypieces.org/,"ABA therapy (Orlando and Ocoee sites, school-based and early intervention) plus autism diagnostic evaluations and parent training",Y,Y,Y,KEEP_ABA,https://www.mypieces.org/aba-therapy-programs,HIGH,"Homepage advertises ""ABA therapy & autism diagnostic evaluations"" and says ""Our compassionate and skilled team of BCBAs partners with families""; the /aba-therapy-programs subpage loaded this time (robots.txt no longer blocking) and its distinct body content details Discrete Trial Training social-skills groups, early intervention in ""manding, tacting, and imitation"", ""Regular progress reviews with BCBA supervisors"" and an ""RBT Schedule Breakdown"". BCBA plus an in-house ""RBT Career Launch"" training and hiring pipeline gives the required second signal; no individual BCBA is named, so the credential rests on the organization's own body copy rather than a registry."
6644,Quest Kids Academy,Orlando,Y,https://questinc.org/quest-kids-academy/,Private K-22 specialty school for autism/DD; instruction delivered under ABA principles by BCBA/BCaBA/RBT staff (ABA therapy also on same campus via separate Quest Kids Therapy program),Y,Y,Y,KEEP_ABA,https://questinc.org/quest-kids-academy/,HIGH,"SCHOOL FLAG: tuition-charging ($23,500-$27,000), FES-UA-eligible K-22 private specialty school with grade-level academic tracks, so it may also belong in the schools section; stored questkids.org 302-redirects to questinc.org. The program-specific (not parent-org) page states education is ""guided by the principles and procedures of Applied Behavior Analysis (ABA)"" and names a BCBA principal plus BCBA/BCaBA teachers and RBTs, independently confirming KEEP_ABA."
6893,"Arianne S. Kosman, OT",Port St. Lucie,Y,https://healthylymphaticsgroup.com/our-staff/,"Adult lymphedema and wound-care occupational therapy (Certified Lymphedema Therapist) at the Healthy Lymphatics, Inc. Port St. Lucie office",N,N,N,REMOVE,https://healthylymphaticsgroup.com/our-staff/,HIGH,"NPI 1962634881 carries the GENERIC OT taxonomy 225X00000X, so I identified the setting: her NPI practice address 479 NW Prima Vista Blvd and the record's exact phone (772) 408-4848 are the Port St. Lucie office of Healthy Lymphatics, Inc., a clinic ""Improving the lives of those who suffer from Lymphedema,"" and her credential is OT, CLT (certified lymphedema therapist). No pediatric or autism caseload anywhere, so this is the adult-rehab failure mode the spec flags rather than a pediatric OT practice families can access."
6601,Arise Center,Port St. Lucie,Y,,"Unclear; Florida LLC with no website, apparently a residential/group-home operation (its only job posting seeks a ""Behavior Assistant"" for ""Residential Clients""), population never established",unclear,N,unclear,UNCLEAR,https://bisprofiles.com/fl/arise-center-l10000029705,LOW,"Searched the name with the city, the stored phone (772) 245-0274, and autism/ABA/APD terms; the only substantive hits were the Sunbiz-derived record (ARISE CENTER, LLC, active since 2010, 3486 SW Ellis Street, Port St. Lucie) and an expired Glassdoor ""Behavior Assistant"" posting for weekend shifts with ""Residential Clients"" — no website, no service page, no BCBA, no autism or developmental-disability population stated. A similarly named ariseconsultantgroup.org group-home site exists but is a different entity name and was unreachable (robots.txt failure on two attempts), so I could not tie it to this record."
6904,Behavior Basics Incorporated,Port St. Lucie,Y,https://www.behaviorbasicsinc.com/aba-therapy/,"In-home and clinic-based ABA therapy for children, plus feeding therapy, social skills groups and parent education; also runs a BCBA residency and CEU program",Y,Y,Y,KEEP_ABA,https://www.behaviorbasicsinc.com/aba-therapy/,HIGH,"BCBA test passed on the dedicated ABA service page (not chrome): ""A Behavior Analyst (BCBA) is a graduate level clinical professional ... certified by the Behavior Analysis Certification Board"" who supervises Registered Behavior Technicians delivering the intervention, with ""Autism Spectrum Disorders"" named among the conditions treated. Second signals present -- RBT staff, a separate clinic-based ABA page, Medicaid ABA authorization documents, and BCBA job postings; the stored phone (772) 463-0444 matches the site's Port St. Lucie office."
8941,Breakthrough Trauma Therapy,Port St. Lucie,Y,https://breakthroughtraumatherapy.com/port-saint-lucie/,"General outpatient mental-health counseling for adults -- trauma/PTSD, EMDR, DBT, anxiety, depression, insomnia -- staffed by psychologists, LMHCs and an LCSW",N,N,N,REMOVE,https://breakthroughtraumatherapy.com/port-saint-lucie/,HIGH,"Confirmed from service content rather than the name: the specialty list on both the home page and the Port St. Lucie location page is ""EMDR Therapy, Trauma Therapy, Anxiety Therapy, Depression Therapy, Insomnia Therapy,"" with no mention of autism, developmental disability, ABA or pediatric services anywhere on either page. Staff are licensed psychologists, LMHCs, an LCSW and a dietitian -- no BCBA -- so this is general mental-health counseling."
7280,"Change of Mind, LLC",Port St. Lucie,Y,https://www.vitadox.com/practice/port-st-lucie-fl-34986/change-of-mind-llc/coK9gg4BEDjytTANMnc2Ym,"General outpatient mental-health counseling practice (Eric R. Leever, LMHC) -- depression, anxiety, anger management, substance abuse, relationship issues",N,N,N,REMOVE,https://www.vitadox.com/practice/port-st-lucie-fl-34986/change-of-mind-llc/coK9gg4BEDjytTANMnc2Ym,MEDIUM,"The opaque name resolves to a solo LMHC counseling practice: the directory profile matching the stored phone (772) 284-6030 lists specialty ""Mental Health Counseling"" for ""substance abuse, anger management, depression, anxiety, and relationship issues"" under Eric R. Leever, LMHC, with no autism, ABA or BCBA anywhere. Its own site mychangeofmind.com would not load on three attempts (robots.txt/TLS failures), but its indexed page titles are ""Mental Health Practice Port Saint Lucie,"" ""Comprehensive Mental Health Services"" and ""Therapy For Anxiety,"" consistent with the general-mental-health REMOVE category."
9126,"Dr. George Zaky, Psy.D., LMHC, LLC",Port St. Lucie,Y,http://drgeorgezaky.com/,"Autism diagnostic evaluation -- psychological and neuropsychological testing practice offering autism spectrum, ADHD and learning-disorder assessments (alongside forensic, immigration and disability evaluations)",N,N,Y,KEEP_OTHER,http://drgeorgezaky.com/,HIGH,"Not assumed from the doctorate: his own practice site lists ""Autism Spectrum Evaluations"" as a named service line offering ""gold-standard autism assessments for children, teens, and adults"" using clinical interview, standardized testing and behavioral observation, and his Psychology Today profile independently states he specializes in ""Testing and Evaluation, Autism testing, Learning Disability, ADHD."" STORED-WEBSITE PROBLEM: expertpsychologicalassociates.com would not load (TLS handshake failure) -- the working site for the same practitioner is drgeorgezaky.com; he does forensic and general psychology too, but autism diagnostic evaluation is an explicit, non-chrome service line."
