id,name,city,operating,website_found,primary_service,delivers_aba,bcba_found,autism_relevant,recommend,evidence_url,evidence_quality,notes
6523,Achievement & Enrichment Center by The Arc Jacksonville,Jacksonville,Y,https://arcjacksonville.org/programs/,"Adult day training / supportive day program for adults with I/DD (skill-building, community involvement) plus recreation — Club Arc West meets at this center; the parent Arc Jacksonville also runs supported employment and residential",N,N,Y,KEEP_OTHER,https://arcjacksonville.org/programs/,HIGH,"Programs page describes the Achievement & Enrichment Center as ""A supportive day program focused on enhancing quality of life through meaningful activities, skill-building, recreation, and community involvement"" and names ""Club Arc West (at the Achievement & Enrichment Center)"" — adult day training and recreation, not ABA. Stored URL is the parent homepage arcjacksonville.org rather than this program page; no BCBA, RBT or ABA mention anywhere on the site."
6531,Clear Communication Therapy,Jacksonville,Y,https://www.clearcommtherapy.com/,"Speech-language pathology — articulation/speech sound production, fluency/stuttering, receptive-expressive language, literacy intervention, swallowing and accent modification (solo SLP, in-person and teletherapy)",N,N,unclear,KEEP_OTHER,https://www.clearcommtherapy.com/,HIGH,"Single-page site for owner-clinician Dorothy Train, ""speech-language pathologist"" with 20 years' experience, listing speech sound production, fluency, language development and literacy intervention — speech therapy, with no ABA or BCBA anywhere; /services returns 404 and no other pages are indexed. Autism is never named on the site so autism relevance is unconfirmed, and the stored phone is an 831 (California) area code for a Jacksonville practice."
9138,Cornerstone Special Education Alliance,Jacksonville,Y,http://www.cornerstonesea.com/home,"IEP/504 special education advocacy for K-12 families — a nonprofit advocacy service, not a school and not a clinic",N,N,unclear,REMOVE,http://www.cornerstonesea.com/home,HIGH,"Site calls them ""your personal IEP/504 plan problem solvers"" reporting ""over 6,850 hours of advocacy for parents of students with disabilities"" across Duval, Nassau, St. Johns and Clay — an advocacy organization, not a direct service provider. Site lists phone 904-703-4102, not the stored (904) 570-9776."
7031,"Empowerment Programs, Inc.",Jacksonville,Y,http://empowermentprograms.org/,"Supported living coaching, personal support/companion and respite services, supported employment coaching and transportation for adults with developmental disabilities (Med-waiver funded)",N,N,Y,KEEP_OTHER,http://empowermentprograms.org/,HIGH,"Site lists ""Supported Living Coaching,"" ""Personal Support, Companion and Respite Services"" and ""Supported Employment Coaching"" for people with developmental disabilities in Duval/Clay/St. Johns/Baker/Nassau since 2000 — supported living, respite and supported employment are all KEEP_OTHER services. No ABA or BCBA mention; autism is not named but the APD Med-waiver population served includes autistic adults."
5856,First Coast Behavior Solutions,Jacksonville,Y,https://fcbsjax.com/services/,"General outpatient mental health counseling — individual and couples counseling, family therapy, hypnotherapy and EMDR, anger management, trauma/abuse counseling, plus tutoring and clinical supervision",N,N,N,REMOVE,https://fcbsjax.com/services/,HIGH,"Services page lists ""Individual Mental Health Counseling,"" ""Behavior Therapy,"" ""Hypnotherapy and EMDR"" and supervision for ""RMHCI's and RCSWI's"" with no ABA, BCBA, RBT or autism mention — a counseling practice using behavioral techniques, which fails the BCBA test. NPI 1720326382 for First Coast Behavior Solutions, LLC is registered under the taxonomy ""Counselor (Mental Health)""; stored fcbsjax.org 302-redirects to fcbsjax.com."
7401,Grey Area Therapy Jax,Jacksonville,Y,https://www.psychologytoday.com/us/therapists/grey-area-therapy-jax-jacksonville-beach-fl/1387103,"Solo LCSW psychotherapy practice specializing in perinatal and reproductive mental health, trauma and life transitions (EMDR, DBT, TF-CBT)",N,N,N,REMOVE,https://www.psychologytoday.com/us/therapists/grey-area-therapy-jax-jacksonville-beach-fl/1387103,MEDIUM,"Melissa Moulton is a ""Clinical Social Work/Therapist, Licensed by State of Florida / SW25124"" treating birth trauma, pregnancy loss, infertility, anxiety and OCD — general mental health counseling with autism and ABA absent from her specialties. Despite the ""Therapy Jax"" name this is not a pediatric or autism service; greyareatherapyjax.com is fully disallowed by robots.txt across two attempts, so the Psychology Today profile is the evidence, and the practice is in Jacksonville Beach rather than the stored city."
8806,Jacksonville Program for Adults with Intellectual and Developmental Disabilities (PAIDD),Jacksonville,Y,https://ufhealthjax.org/locations/jacksonville-program-for-adults-with-intellectual-and-developmental-disabilities-paidd,Primary care medical home (Internal Medicine) for adults with intellectual and developmental disabilities,N,N,unclear,REMOVE,https://ufhealthjax.org/locations/jacksonville-program-for-adults-with-intellectual-and-developmental-disabilities-paidd,HIGH,"The location page offers ""primary care and a medical home for adults with intellectual and developmental disabilities"" under the Internal Medicine specialty, with no autism-specific service on the page — a general medical practice, not an autism service. Autism appears only in UF Health's site-wide condition index (trap 2) and the UF autism work belongs to the separately named UF CARD-Jacksonville, which this record must not be credited with; the record name is truncated in the input CSV."
6839,Journey Center Jax,Jacksonville,Y,https://journeycenterjax.com/,"General mental health therapy and family counseling for infants, children and adults — individual therapy, Circle of Security Parenting, social-emotional assessments",N,N,N,REMOVE,https://journeycenterjax.com/,HIGH,"Site offers ""individual mental health therapy,"" family counseling and ""Circle of Security Parenting"" with stated expertise in ""anxiety disorders in children"" and ""childhood trauma and recovery"" — a general counseling practice serving many populations. No autism, ABA, BCBA or RBT mention and no clinician credentials published."
6605,Let's Talk About It Holistic Healing,Jacksonville,Y,https://letstalkhh.my.canva.site/,"Solo holistic psychotherapy practice of Jasmine Floyd, MA, LMHC — general mental health counseling",N,N,N,REMOVE,https://www.instagram.com/letstalkhh/,LOW,"The stored Canva site resolves but is effectively empty — only the title ""Lets Talk!"" and export metadata, no body content or services — so it is an unpublished/blank page, and no other business website exists. The only identification is the matching @letstalkhh account, ""Jasmine Floyd, MA, LMHC | Holistic Therapist,"" and NPI 1275005597 registered as ""Counselor - Mental Health"": general mental health counseling, no ABA or BCBA."
6530,Missing Piece Behavioral Solutions,Jacksonville,Y,https://missingpiecebehavior.com/,"1:1 in-home/clinic ABA therapy for children with autism; early intervention, behavioral assessments, functional living skills, toilet training, caregiver guidance",Y,unclear,Y,KEEP_ABA,https://missingpiecebehavior.com/services,HIGH,"Dedicated services page (distinct from home page) lists ""Behavioral Assessments,"" ""Early intervention,"" and ""Decreasing undesirable behaviors"" and accepts FES-UA plus Tricare/Aetna/Cigna/BCBS, and the home page states they provide ""personalized ABA therapy to promote positive behavior change for individuals with autism."" No BCBA is named anywhere on the site, but the second signal is present: the company posts Registered Behavior Technician (RBT) job openings in Jacksonville, so the puzzle-piece branding is not the basis for this verdict."
6637,New Heights of Northeast Florida,Jacksonville,Y,https://www.newheightsnefl.org/,"Speech therapy, occupational therapy, physical therapy and developmental therapy for children and adults, plus Adult Day Training and transportation for people with developmental disabilities",N,N,Y,KEEP_OTHER,https://www.newheightsnefl.org/therapy,HIGH,"The therapy page (not chrome) states they provide ""developmental, occupational, physical and speech therapy"" to ""both children and adults,"" in person or via telehealth, and the services page lists Adult Day Training and transportation as separate programs; the about page names autism among the disabilities served since 1953. No ABA and no BCBA appears anywhere on the site, so this is a KEEP_OTHER on speech/OT/PT plus adult day training, not an ABA provider."
6831,North Florida Behavior Consultants,Jacksonville,Y,https://www.northflbc.com/about-us,"In-home, school and community ABA therapy plus educational services for children ages 2-18 with autism, ADHD and conduct disorders",Y,Y,Y,KEEP_ABA,https://www.northflbc.com/about-us,HIGH,"The stored website was null; a search located their own site at northflbc.com, whose About Us page says they specialize in ""Applied Behavior Analysis (ABA) and educational services"" for children 2-18 with autism spectrum disorder and is ""owned and operated by a Board Certified Behavior Analyst (BCBA)."" Second signal confirmed independently: an NPI record for the entity carries the Behavior Analyst taxonomy and a current staff member lists Registered Behavior Technician at North Florida Behavior Consultants."
6619,"Perspectives Anew Therapy, LLC",Jacksonville,Y,http://www.perspectivesanewtherapy.com/,"Solo general mental health counseling practice (Dr. Stephanie Peyton, LCSW) offering Accelerated Resolution Therapy, DBT, CBT, MBCT, SFBT and EFT for trauma, depression, anxiety, chronic pain, grief and couples work",N,N,N,REMOVE,https://www.perspectivesanewtherapy.com/services,HIGH,"BCBA test fails outright: the only clinician listed is ""Dr. Stephanie Peyton, LCSW, QS, DMCP,"" a Licensed Clinical Social Worker, and the services page (compared against the home page) names only ART, DBT, CBT, MBCT, SFBT and EFT for ""Trauma, Depression, Anxiety, Chronic Pain, Grief, Relationships."" Autism, ABA and developmental disability appear nowhere on either page, so this is general counseling using behavioral techniques, not an autism service provider."
7205,"Positive Change Mental Health, LLC",Jacksonville,Y,https://positivechangemh.com/,"Solo adult psychotherapy practice (P. Daniel Knabb, Ph.D., licensed psychologist) for life transitions, anxiety, burnout, depression, grief and veterans' issues, in-person at Southpoint plus Florida telehealth",N,N,N,REMOVE,https://positivechangemh.com/,HIGH,"BCBA test fails: the sole clinician is ""P. Daniel Knabb, Ph.D.,"" a licensed psychologist, offering ""in-person individual therapy at our Southpoint office, plus telehealth options across Florida"" for adult concerns including ""retired military and veterans"" — a psychologist using behavioral methods is not an ABA provider. The site is a single consolidated page with no separate service pages, and neither it nor a targeted web search surfaces any autism, ABA or developmental-disability service line."
