id,name,city,operating,website_found,primary_service,autism_focus,does_autism_diagnostic_eval,recommend,evidence_url,evidence_quality,notes
6922,Elite DNA Behavioral Health Therapy & Psychiatry Clinic - Brooksville,Brooksville,Y,https://elitedna.com/locations/brooksville/,"General outpatient psychiatry and psychotherapy — medication management, trauma therapy, family/couples/group therapy, children's mental health",N,N,REMOVE,https://elitedna.com/services/applied-behavior-analysis/,HIGH,"The Brooksville location page's own body lists only ""anxiety, depression, ADHD, PTSD, bipolar disorder"" and names no autism; ABA and Speech Therapy appear solely in the chain-wide nav, i.e. site chrome, not branch content. Elite DNA's own ABA/autism page names only the ""Fort Myers Occupational Therapy, Speech & ABA Clinic"" as delivering it, so the autism work belongs to a different named site and this branch gets no credit."
6989,Envisioning Hope Counseling,Brooksville,Y,http://envisioninghopecounseling.com/,"Solo LCSW (Erin Cash) individual therapy — grief and bereavement, depression, anxiety, perinatal/postpartum, parenting, life-limiting illness",N,N,REMOVE,http://envisioninghopecounseling.com/,HIGH,"Grief- and bereavement-centered solo counseling practice with no autism, ASD or developmental-evaluation string anywhere on the site, including ""children's bereavement counseling"" which is the only child-facing offering. No second page needed: the main service copy carries no autism claim to test against chrome."
7044,LifeSpring Counseling Center,Brooksville,Y,http://www.lifespringcounseling.center/,"Multi-clinician general outpatient counseling group — anxiety, depression, PTSD, grief, addiction, ADHD, couples and family work",N,N,REMOVE,https://lifespringcounseling.center/counselors/,HIGH,"Two pages compared: the homepage names ""anxiety, depression, PTSD, grief, and stress management... addiction, ADHD,"" and all 14 counselor bios were checked individually with no autism, ASD or developmental-evaluation mention in any of them. The nearest child-focused bio is Karey May's ""expertise in ADHD, parent coaching, and emotional wellness,"" which is not autism relevance."
7442,"Better Perspective Counseling Services, LLC - Cape Coral",Cape Coral,Y,http://www.betterperspectivecounseling.com/,"Solo pre-licensed counselor (Shannon Parrinello, RMHCI) — individual and couples psychotherapy, family therapy, therapy intensives, and ABA-informed parent behavior training",N,N,REMOVE,https://betterperspectivecounseling.com/parent-training-and-interventions/,HIGH,"The Parent Training page is the only autism-adjacent content and it deliberately avoids naming any diagnosis — its target population is ""Parents struggling with disruptive or defiant behaviors"" and ""Families adjusting to a new diagnosis or transition,"" with no autism, ASD or evaluation string. Uses ABA techniques for general child behavior management, which is not an autism focus and involves no diagnostic evaluation."
6671,Elite DNA Behavioral Health Therapy & Psychiatry Clinic - Cape Coral,Cape Coral,Y,https://elitedna.com/locations/cape-coral/,"General outpatient psychiatry and psychotherapy — diagnosis, medication management, talk therapy",N,N,REMOVE,https://elitedna.com/services/applied-behavior-analysis/,HIGH,"Cape Coral's location body names no autism at all, and its ""Conditions & Specialties in Cape Coral"" block is the identical global list rendered on the Brooksville page — confirmed chrome by comparing the two location pages. Elite DNA's ABA page credits only the Fort Myers ABA clinic, so this branch is treated the same as Brooksville: no autism credit."
6740,I-BOS Counseling Center,Cape Coral,Y,http://www.iboscounseling.com/,"Solo counselor (Katherine A. Lowry) general practice — children's play/sand-tray/art therapy, EMDR, transgender care, CAP evaluations, telehealth",N,N,REMOVE,https://www.iboscounseling.com/index.php/childrens-therapy/,HIGH,"The dedicated Children's Therapy page — the page most likely to carry an autism claim — lists ""school and behavior issues, ADHD, obsessive compulsive disorder, oppositional defiant disorder... anxiety, depression, suicidal behaviors and much more"" with no autism, ASD or developmental evaluation. Homepage and the 13-item nav carry no autism string either."
7034,"Positive Progress - Counseling & Coaching, PLLC",Cape Coral,Y,https://capecoralcounselor.com/,"Solo LCSW (Rick Merillat, Positive Progress Counseling Associates) adult and couples therapy — relationships, anxiety, depression, grief and loss, CBT, telehealth",N,N,REMOVE,https://capecoralcounselor.com/,HIGH,"Stored URL's utm_source/utm_medium parameters stripped — same page, resolves to ""Positive Progress Counseling Associates."" Adult/couples generalist whose entire nav (Relationships, Couples, Anxiety & depression, Grief & loss) and body copy contain no autism, neurodivergence or evaluation string, so a second page was unnecessary."
7440,"Southwest Florida Sports Counseling, LLC",Cape Coral,Y,https://swfltherapy.com/,"Solo LMHC (Kimberly Rogers, MH18091) counseling — sports performance therapy, adolescent counseling, anxiety, depression, grief and bereavement, CBT",N,N,REMOVE,https://swfltherapy.com/services/,HIGH,"The stored domain swfltherapy.com DOES match the record despite the name mismatch — the site brands itself ""SWFL Sports Counseling"" and states ""Southwest Florida Sports Counseling, LLC,"" so this is not a stored-website error. Two pages compared: the homepage and the full Services page list the same seven offerings (sports performance, adolescent, anxiety, depression, grief, CBT, individual) with zero autism or evaluation mention."
6829,"The Back Door Counseling, LLC",Cape Coral,Y,https://thebackdoorcounseling.com/,"General mental-health counseling for children and adults in Cape Coral/Fort Myers — depression, bipolar, anxiety, grief and loss, adjustment difficulties",N,N,REMOVE,https://thebackdoorcounseling.com/,HIGH,"The stored www URL failed on a self-signed-certificate robots.txt error; the bare host rendered fine, and its service copy reads ""depression, bipolar, anxiety, grief & loss, and adjustment difficulties due to life changes among others"" with no autism, ASD or evaluation string. Subpage coverage was blocked by ROBOTS_DISALLOWED on /services/ — the site is live and reachable, only its interior pages could not be loaded."
6491,Untamed Therapy & Consulting | EMDR Certified Trauma Therapy in SWFL,Cape Coral,Y,https://untamedtherapy.com/,"Solo EMDR-certified trauma therapy for adults 18+ — EMDR intensives, inner-child and parts work, nervous-system regulation",N,N,REMOVE,https://untamedtherapy.com/,HIGH,"Explicitly adult-only trauma practice — ""adults (18+) one-on-one"" whose ""clients are mostly hyper-independent, burnt-out women"" — so no pediatric or developmental work at all. No autism, neurodivergent or evaluation string anywhere including the ten-item nav, so no second page was required."
6866,"360 Counseling LLC Clearwater, FL",Clearwater,Y,http://www.clearwater360counseling.com/,"Ten-clinician general counseling group (mostly registered interns) — couples, family, group, grief, first responders, anger management, EMDR, depression/anxiety, infertility, career",N,N,REMOVE,https://clearwater360counseling.com/autism-spectrum-disorder/,HIGH,"The autism page was compared against the couples-counseling page and both are Brighter Vision boilerplate specialty templates with the same problem-questions/CTA skeleton — the autism page is generic ""Signs and Symptoms of ASD"" education whose only service claim is ""Therapist, Cathi Long offers counseling to individuals, families & couples struggling with Autism Spectrum Disorder in Clearwater, FL."" Autism is one entry in a long specialty list with no ADOS, assessment, diagnosis or evaluation offered, so it fails the ""autism among fifteen other specialties"" rule."
